#{"t_start": 1765490177.626891, "env_id": "None"}
r,l,t
31.361051,50,0.956096
806.597774,721,4.03493
32.17915,58,4.441832
23.551226,40,4.779673
28.702467,46,5.146621
1162.586069,1001,9.374575
34.619039,49,9.735472
34.955333,52,10.112102
579.34673,534,12.721372
638.103706,571,15.515289
32.702766,57,16.019966
25.987888,51,16.473955
33.017657,56,16.893557
1043.12886,1001,22.120917
60.288456,88,22.66636
36.033908,62,23.140036
48.686113,68,23.589001
29.7021,47,23.944896
80.537349,132,24.641317
32.168928,55,25.028101
32.317439,60,25.447844
33.394313,59,25.853108
954.951958,1001,30.088416
52.901306,83,30.611588
443.09954,501,32.863786
42.892127,64,33.298343
995.38531,1001,37.513908
55.41162,84,38.01771
970.171802,1001,42.966537
27.860612,51,43.344217
1148.833947,1001,47.778003
1072.871614,1001,51.965568
48.088465,70,52.45481
56.938866,87,52.97347
74.959141,121,53.63981
29.143109,49,54.018074
469.445606,536,56.347976
31.936443,49,56.738935
1015.414905,1001,61.787832
27.697151,46,62.153249
1236.251236,1001,66.428912
1062.600097,1001,70.684159
1234.840564,1001,74.924354
55.876135,91,75.504917
1001.418074,854,79.879656
607.250656,585,82.460562
1045.691465,1001,86.661164
79.73949,134,87.359388
45.236141,88,87.905104
31.01729,57,88.312416
30.899249,59,88.725095
93.574079,131,89.415026
611.70913,852,93.151402
340.012971,371,94.967497
37.103831,53,95.365404
31.977594,54,95.753289
27.027069,52,96.134441
796.068333,821,100.411161
782.718975,875,104.206528
703.800623,674,107.422288
796.779638,1001,111.741985
30.798743,52,112.120394
869.40833,1001,116.35579
136.309803,162,117.173919
426.320255,611,120.546035
971.193398,1001,124.731671
34.076978,55,125.124183
30.021858,52,125.500483
158.06543,167,126.340023
1182.074694,1001,130.606723
33.138295,59,131.021699
770.601452,1001,135.520286
495.166198,468,138.539394
244.938129,242,139.755339
527.779795,564,142.377467
841.268181,1001,146.895722
27.901306,44,147.243959
34.875397,59,147.647172
354.343471,359,149.349111
935.842844,1001,153.624938
668.032032,1001,158.779712
29.57918,50,159.169769
1128.762849,1001,163.483597
146.883492,165,164.330539
1120.012026,1001,168.5859
1140.526198,1001,172.824079
911.380983,1001,177.784582
375.982872,453,179.80051
1059.58501,1001,184.00778
227.209662,257,185.206459
30.754299,61,185.619102
36.210454,53,185.999677
262.820069,334,187.503272
62.456535,87,188.013012
29.988183,51,188.381867
1157.105515,1001,192.575516
46.643114,69,193.028391
1073.991204,1001,197.947567
1006.408678,1001,202.135205
714.425288,1001,206.379239
1002.44675,1001,210.582939
1094.825547,1001,215.485727
44.232649,81,215.973703
1240.503653,1001,220.121575
1288.740081,1001,224.281481
28.647301,54,224.66056
1181.769136,1001,228.809731
260.83638,298,230.89882
1036.94936,1001,235.066581
216.270612,217,236.103693
942.695355,1001,240.253229
101.50089,122,240.906034
1208.260307,1001,245.053414
1134.904855,1001,249.921591
23.579016,44,250.262202
794.675381,1001,254.405427
1016.949308,1001,258.582144
710.65345,1001,262.738857
1258.865934,1001,267.631893
1073.921571,1001,271.777402
624.388467,581,274.251061
1256.434813,1001,278.409711
193.018942,235,279.509011
149.582951,220,280.550347
138.46879,228,281.627963
1016.342823,1001,286.529392
811.833955,863,290.1178
62.80944,94,290.65941
56.994047,84,291.157457
23.372738,53,291.531693
1109.882462,1001,295.67306
1132.294368,1001,299.818688
24.407569,43,300.15454
127.790138,190,301.078219
1129.506484,1001,305.94831
350.685338,338,307.459539
995.459318,1001,311.596524
159.057087,180,312.475302
963.892239,1001,316.629482
1075.375567,1001,321.543096
963.402276,1001,325.689432
728.673546,1001,329.827069
613.72585,586,332.327976
1165.340458,1001,336.481614
923.680555,1001,341.356671
157.931133,169,342.190664
33.786249,53,342.565381
635.039668,702,345.521507
30.667135,59,345.920837
57.250951,93,346.455487
962.477434,1001,350.591592
30.051525,60,350.996271
806.06439,1001,355.139455
1191.975975,1001,360.008444
919.905646,1001,364.147521
726.167304,703,367.105852
917.551292,1001,371.248965
37.12872,58,371.645929
71.159841,100,372.2078
433.946103,455,374.171531
24.745923,42,374.516105
26.372259,47,375.602828
881.927963,1001,379.761247
354.643899,324,381.216873
56.959152,91,381.742593
1192.461851,1001,385.90891
296.292183,296,387.252135
51.977576,96,387.799466
88.192658,109,388.397646
1104.100148,1001,392.528554
1237.019565,1001,397.401546
945.582381,1001,401.536013
32.502155,52,401.907217
31.129937,57,402.298003
30.818112,54,402.676564
883.205745,1001,406.82066
1045.574722,1001,410.972249
752.936211,1001,415.852121
1058.832933,1001,419.990089
1096.1662,1001,424.136803
1215.904282,1001,428.287858
1211.879755,1001,433.159652
1230.60995,1001,437.298536
1052.996362,955,441.245857
746.037856,1001,445.375764
57.198134,83,445.873625
27.625241,52,446.245629
168.513644,196,447.922223
32.102967,59,448.335024
190.706666,277,449.621443
64.907501,113,450.237375
207.396283,237,451.343514
123.765986,178,452.214151
107.941172,151,452.986432
544.286533,576,455.442227
