#{"t_start": 1765464929.424012, "env_id": "None"}
r,l,t
0.317983,16,0.820162
0.317983,16,1.041553
0.317983,16,1.262406
0.317983,16,1.47573
0.317983,16,1.691169
0.317983,16,1.902452
0.317983,16,2.117497
0.317983,16,2.328069
0.317983,16,2.54175
0.317983,16,2.752109
0.317983,16,2.973055
0.317983,16,3.184306
0.317983,16,3.390649
0.317983,16,3.613255
0.317983,16,3.832725
0.317983,16,4.048471
0.317983,16,4.264793
0.317983,16,4.485397
0.317983,16,4.712812
0.317983,16,4.934843
0.317983,16,5.153321
0.317983,16,5.36784
0.317983,16,5.579582
0.317983,16,5.785297
0.317983,16,5.991005
0.317983,16,6.204117
0.317983,16,6.420354
0.317983,16,6.631714
0.317983,16,6.84177
0.317983,16,7.06043
0.317983,16,7.281269
0.317983,16,7.500256
0.317983,16,7.715958
0.317983,16,7.930569
0.317983,16,8.145805
0.317983,16,8.361198
0.317983,16,8.576078
0.317983,16,8.793402
0.317983,16,9.006039
0.317983,16,9.250195
0.317983,16,9.465462
0.317983,16,9.681314
0.317983,16,9.902611
0.317983,16,10.113421
0.317983,16,10.324038
0.317983,16,10.527849
0.317983,16,10.732906
0.317983,16,10.959538
0.317983,16,11.17919
0.317983,16,11.387517
0.317983,16,11.590717
0.317983,16,11.79269
0.317983,16,11.994608
0.317983,16,12.201064
0.317983,16,12.420011
0.317983,16,12.623592
0.317983,16,12.848585
0.317983,16,13.051301
0.317983,16,13.253475
0.317983,16,13.455542
0.317983,16,13.657434
0.317983,16,13.859177
0.317983,16,14.060576
0.317983,16,14.27611
0.317983,16,14.476897
0.317983,16,14.679175
0.317983,16,14.880367
0.317983,16,15.08247
0.317983,16,15.286325
0.317983,16,15.498687
0.317983,16,15.699808
0.317983,16,15.915242
0.317983,16,16.116809
0.317983,16,16.318875
0.317983,16,16.530498
0.317983,16,16.73188
0.317983,16,16.933914
0.317983,16,17.136634
0.317983,16,17.340944
0.317983,16,17.546907
0.317983,16,17.767547
0.317983,16,17.969925
0.317983,16,18.171222
0.317983,16,18.373721
0.317983,16,18.580413
0.317983,16,18.794934
0.317983,16,19.005116
0.317983,16,19.222173
0.317983,16,19.440073
0.317983,16,19.649749
0.317983,16,19.853967
0.317983,16,20.057035
0.317983,16,20.289892
0.317983,16,20.518849
0.317983,16,20.735624
0.317983,16,20.946954
0.317983,16,21.157813
0.317983,16,21.374233
0.317983,16,21.5951
0.317983,16,21.813742
0.317983,16,22.023852
0.317983,16,22.225269
0.317983,16,22.43016
0.317983,16,22.64804
0.317983,16,22.861498
0.317983,16,23.072552
0.317983,16,23.296317
0.317983,16,23.510276
0.317983,16,23.718617
0.317983,16,23.921741
0.317983,16,24.124211
0.317983,16,24.326827
0.317983,16,24.529653
0.317983,16,24.731895
0.317983,16,24.937921
0.317983,16,25.156948
0.317983,16,25.372006
0.317983,16,25.591909
0.317983,16,25.807878
0.317983,16,26.028177
0.317983,16,26.251373
0.317983,16,26.470505
0.317983,16,26.726142
0.317983,16,26.947264
0.317983,16,27.163812
0.317983,16,27.389164
0.317983,16,27.608706
0.317983,16,27.827622
0.317983,16,28.04171
0.317983,16,28.260341
0.317983,16,28.477692
0.317983,16,28.696823
0.317983,16,28.914751
0.317983,16,29.137891
0.317983,16,29.360155
0.317983,16,29.575676
0.317983,16,29.795099
0.317983,16,30.008845
0.317983,16,30.2214
0.317983,16,30.448601
0.317983,16,30.661115
0.317983,16,30.902593
0.317983,16,31.115246
0.317983,16,31.329529
0.317983,16,31.537242
0.317983,16,31.755402
0.317983,16,31.971922
0.317983,16,32.184913
0.317983,16,32.407542
0.317983,16,32.617538
0.317983,16,32.823739
0.317983,16,33.026413
0.317983,16,33.228824
0.317983,16,33.435207
0.317983,16,33.638707
0.317983,16,33.843855
0.317983,16,34.058935
0.317983,16,34.269176
0.317983,16,34.472367
0.317983,16,34.675906
0.317983,16,34.878448
0.317983,16,35.082269
0.317983,16,35.285069
0.317983,16,35.491606
0.317983,16,35.704403
0.317983,16,35.917618
0.317983,16,36.125288
0.317983,16,36.346545
0.317983,16,36.561355
0.317983,16,36.777013
0.317983,16,37.001191
0.317983,16,37.220303
0.317983,16,37.441155
0.317983,16,37.66208
0.317983,16,37.882233
0.317983,16,38.102689
0.317983,16,38.319931
0.317983,16,38.530287
0.317983,16,38.748765
0.317983,16,38.971291
0.317983,16,39.191564
0.317983,16,39.404953
0.317983,16,39.60785
0.317983,16,39.812191
0.317983,16,40.017491
0.317983,16,40.22296
0.317983,16,40.425681
0.317983,16,40.658894
0.317983,16,40.883237
0.317983,16,41.104706
