#{"t_start": 1765558818.8628879, "env_id": "None"}
r,l,t
26.016887,52,0.992905
68.508444,107,1.593092
55.216714,76,2.062641
106.966044,199,3.019529
19.796951,42,3.350696
239.99532,402,5.085649
559.129998,704,8.00552
35.490517,72,8.501202
20.612551,40,8.839335
24.620597,59,9.295814
53.475907,97,9.868089
23.913394,59,10.267731
65.096594,115,10.909455
906.489738,1001,15.03549
636.336196,752,18.146438
233.470839,283,19.48486
847.699483,1001,24.401632
137.430168,233,25.502321
41.44176,68,25.961818
434.998958,547,28.454018
882.396689,1001,32.73912
191.90876,280,34.022886
23.728711,57,34.420396
26.928826,55,34.806956
35.040364,74,35.270655
168.558015,277,36.540001
28.473477,58,36.941522
24.167161,54,37.328235
29.38167,65,37.756555
249.666048,322,39.212397
446.433731,501,42.173064
642.77819,1001,46.270842
572.373511,668,49.111373
61.977276,98,49.68041
979.146486,1001,53.818447
821.182512,1001,58.86629
480.523726,745,62.157858
61.279944,128,62.92499
792.282694,1001,67.017754
634.782989,1001,71.153409
390.396699,1001,75.262683
786.591697,1001,80.440391
661.617525,1001,84.603252
928.63373,1001,89.001455
356.846208,518,91.24353
29.369493,50,91.609338
151.45714,198,92.568602
633.092873,1001,97.440868
30.00655,51,97.809299
962.321193,1001,101.962803
871.722141,1001,106.120154
866.519835,1001,110.336165
640.554582,1001,115.239961
30.15737,63,115.662223
708.621668,789,118.974396
216.29856,269,120.211579
52.491372,85,120.716992
24.604627,52,121.085188
640.430287,1001,125.237982
475.130668,1001,129.411785
536.263182,1001,134.281419
639.502292,795,137.655957
920.952188,990,141.763135
40.873744,74,142.222709
29.607766,51,142.590334
340.186088,423,144.450761
108.705908,217,145.475485
1022.801992,1001,150.566103
728.856667,1001,154.971208
24.009202,57,155.364882
26.982248,54,155.788284
869.08874,1001,160.123682
829.75503,1001,164.487222
528.759514,1001,169.404981
284.785408,1001,173.595363
25.915385,55,173.980558
27.861286,58,174.381651
34.279884,59,174.783694
24.352326,57,175.178477
32.918805,60,175.582055
986.064938,1001,179.725701
776.301474,880,183.829011
735.9012,834,188.039211
677.407244,727,191.107386
28.401111,58,191.501509
48.157279,113,192.120694
754.887939,1001,196.280132
81.743031,161,197.087206
291.073813,466,199.115355
43.978052,69,199.558025
34.364691,59,199.95908
36.088594,71,200.412634
559.227544,757,203.603435
515.850247,1001,208.528026
530.736648,770,211.821392
32.859104,68,212.25627
795.512514,1001,216.404602
774.931144,1001,220.570966
742.810472,864,224.894569
403.751879,1001,229.092475
63.696078,130,229.779145
21.975253,43,230.115848
1072.295957,1001,234.278539
327.234914,483,236.372254
868.473155,1001,240.546466
218.76202,604,243.850834
726.746731,1001,248.006172
27.319162,55,248.388718
35.808362,62,248.805967
299.430391,1001,252.981453
675.420671,1001,257.139107
31.565489,65,257.562256
27.42674,57,257.954088
24.104637,59,258.35205
68.322539,124,259.011579
67.262791,146,259.75802
727.922629,1001,264.635866
166.908749,393,266.372686
341.328903,377,268.040361
702.175256,1001,272.201372
320.725069,764,275.423569
114.659712,226,276.491302
28.655363,46,276.844761
768.680623,793,280.89311
966.368793,1001,285.054917
983.098973,1001,289.22632
26.878505,62,289.6354
51.940928,91,290.165921
487.358345,637,292.872193
635.718608,1001,297.033327
26.250074,54,297.412544
44.327347,72,298.586591
631.565121,1001,302.738226
917.306627,1001,306.9036
937.676604,1001,311.051726
741.34794,1001,315.220919
363.54627,613,318.549365
18.380113,40,318.87241
25.728901,62,319.281238
285.489013,1001,323.453121
440.464479,861,327.058372
176.670807,240,328.180793
795.327736,981,332.240795
24.036479,54,332.61888
133.403091,200,333.58444
704.53242,1001,338.45394
470.219675,1001,342.620864
484.892745,1001,346.76788
350.055707,790,350.091242
25.080959,65,350.517223
526.057332,1001,355.400129
595.652949,1001,359.551035
694.125408,1001,363.715617
21.466869,44,364.054498
37.444872,63,364.472902
804.820974,1001,368.629845
23.122845,60,369.032216
550.79783,724,372.80469
770.921231,1001,376.965776
935.174767,1001,381.128079
24.195964,56,381.517213
213.650396,727,384.609443
939.237048,1001,389.498261
391.256193,579,391.973596
497.248137,1001,396.139911
771.280795,1001,400.283908
281.129108,1001,404.505198
30.956974,59,404.904244
20.959068,51,405.272375
1038.3256,1001,410.17873
201.633964,323,411.633462
30.979859,57,412.024214
738.699485,1001,416.182848
911.827615,1001,420.327897
961.341596,1001,425.199321
23.96088,61,425.607463
249.062908,597,428.157141
617.127683,1001,432.310408
706.757023,800,435.665176
676.474514,1001,439.829302
786.472498,868,444.179726
737.185155,1001,448.342678
688.530465,1001,452.502893
39.203779,66,452.929879
780.197532,1001,457.079822
1031.462066,1001,461.968385
890.648434,1001,466.125648
32.684281,59,466.530156
22.247309,47,466.883988
1018.674467,1001,471.043762
540.662284,1001,475.196352
876.291658,1001,480.086576
25.479107,51,480.454174
405.74876,1001,484.626996
59.713558,96,485.176529
108.915625,125,485.840067
625.249253,1001,490.00338
780.051457,1001,494.166715
25.30334,60,494.569071
333.765301,540,497.609163
981.093791,1001,501.75743
27.648204,63,502.180287
1043.495399,1001,506.354517
798.020627,1001,510.517043
480.368509,546,512.856321
921.379575,1001,517.748177
24.828594,63,518.166906
37.545415,78,518.642602
278.965795,355,520.218074
218.817997,247,521.369862
82.06085,120,522.016876
35.266728,73,522.476837
23.089611,55,522.858986
25.288832,50,523.225457
955.18645,1001,527.379115
603.759876,1001,531.780672
21.109972,47,532.135843
843.64382,1001,537.031274
620.83744,752,540.194121
