#{"t_start": 1765998253.173784, "env_id": "None"}
r,l,t
8.439082,1001,5.201348
0.836417,284,6.643603
2.669695,1001,11.262527
0.134806,57,11.685339
-0.021094,129,12.450597
2.672014,1001,17.073224
0.159876,54,17.489466
6.587907,1001,23.001099
5.914933,1001,27.626648
9.517511,1001,32.128953
2.857734,1001,36.804529
0.700001,138,37.599334
5.921658,1001,43.194522
0.115594,59,43.640497
0.712415,161,44.559081
9.697147,1001,49.104755
0.212853,56,49.524202
0.092392,47,49.911629
0.799155,158,50.758647
0.079243,45,51.131347
3.545987,577,53.870691
4.497444,1001,58.434017
8.22392,1001,64.066721
1.20702,399,66.093059
3.366955,581,69.046666
0.803831,267,70.41178
0.184759,52,70.826613
0.189741,59,71.264318
0.138615,50,71.667161
5.62268,1001,76.664998
9.81682,1001,81.292121
0.431291,128,81.991062
0.199404,57,82.39606
1.0805,335,84.827521
7.301952,951,89.187738
0.166458,59,89.634025
0.329891,179,90.596774
3.464348,748,94.08066
2.083441,357,95.864022
0.949815,198,96.93029
0.095288,57,97.364215
0.060176,56,97.780676
9.377853,1001,102.560081
2.40499,401,105.334866
0.132909,54,105.752822
0.162548,52,106.136208
1.3353,287,107.499052
0.326116,97,108.064319
9.233052,1001,112.402396
0.197966,103,112.998564
1.156618,398,114.824107
5.690281,770,118.23215
10.005737,1001,122.602127
0.272414,66,123.043186
-0.008012,41,124.177114
5.492636,1001,128.489832
7.663871,1001,132.802033
0.056002,43,133.150439
0.121018,85,133.666234
8.458818,1001,138.030408
0.064873,48,138.394079
5.494417,1001,143.527326
8.456676,1001,147.895273
8.927454,1001,152.286074
5.000368,672,155.246093
6.795887,1001,159.555546
0.859888,191,160.513836
5.203021,695,164.341487
0.200332,55,164.733096
6.672295,1001,169.086731
2.396313,340,170.665187
0.162472,53,171.046438
10.57971,1001,175.374829
0.119223,50,175.757887
9.419015,1001,180.102176
9.012661,1001,185.21371
0.079625,44,185.559967
0.220693,59,185.98323
0.192618,90,186.525447
2.594236,502,188.781436
0.329176,75,189.258318
4.402299,594,191.8866
0.211841,57,192.288357
0.160999,57,192.685467
0.139531,117,193.331854
6.844741,1001,197.650166
8.287558,1001,202.770056
0.169274,104,203.367801
4.96222,1001,207.751992
9.165795,1001,212.087511
7.288324,1001,216.412499
0.14602,56,216.816786
7.952956,974,221.807228
0.126506,46,222.183318
9.454591,1001,226.499162
0.143141,58,226.908497
9.738806,1001,231.24951
6.135371,914,235.225634
8.310039,1001,240.368759
6.143191,1001,244.681316
0.176116,53,245.06678
1.470065,298,246.46271
5.448186,760,249.794787
0.014761,41,250.135989
0.046986,44,250.484044
0.031714,43,250.826129
0.188212,57,251.225924
0.232392,61,251.64129
0.19166,54,252.028262
3.932561,574,254.56692
9.384808,1001,259.664666
8.693658,1001,263.974095
9.428124,1001,268.34682
8.259873,1001,272.658531
9.401479,1001,277.797469
8.56477,1001,282.113496
8.420028,1001,286.429161
3.698946,588,289.044753
0.068708,45,289.401675
0.262027,70,289.860228
0.137701,51,290.235262
4.300731,738,293.444769
1.149589,303,294.870997
0.241567,63,295.303319
4.520056,693,299.141274
1.262331,339,300.706662
6.633222,959,304.850889
9.56055,1001,309.152705
9.385984,1001,313.445461
0.229126,58,313.862336
0.208878,70,315.113215
9.636638,1001,319.461593
9.334451,1001,323.774766
1.09262,203,324.792531
8.607552,1001,329.145084
10.489827,1001,334.251068
0.243424,97,334.821302
9.785467,1001,339.120103
3.820717,541,341.517222
9.172765,1001,345.82206
0.214253,53,346.206869
5.292808,1001,350.49568
4.371908,652,354.160585
0.012785,40,354.50276
8.794393,1001,358.861215
2.819703,422,360.783591
7.499975,1001,365.092026
9.803334,1001,369.450222
8.956211,1001,374.548167
5.082154,844,378.255795
7.740362,1001,382.566508
8.486629,1001,386.927967
0.126393,54,387.317719
1.864395,291,388.691752
10.62974,1001,393.791439
0.023936,45,394.142494
0.691138,222,395.227391
7.775708,1001,399.548758
11.394443,1001,403.866828
6.731166,1001,408.991121
8.399619,1001,413.929583
10.479965,1001,418.327513
1.288466,361,420.008107
0.29853,94,420.568525
4.578065,665,423.482412
0.111828,46,423.83635
1.089509,258,425.059409
5.354584,1001,430.161534
6.690034,859,433.891869
8.967579,1001,438.210404
0.383356,126,438.892858
0.201738,67,439.335537
1.977267,322,440.834715
1.857311,461,442.941751
1.133249,200,443.933804
0.007078,43,444.367166
0.106429,83,444.888573
8.813045,1001,449.993948
0.270915,62,450.417961
6.621412,1001,454.710212
3.394975,446,456.716611
0.170044,50,457.090273
8.504439,1001,461.39485
4.144623,926,465.371567
2.788092,353,467.790031
9.753083,1001,472.146135
10.093342,1001,476.470849
3.08348,422,478.380104
7.935045,1001,482.704747
9.685389,1001,487.787836
8.602936,1001,492.096574
0.099491,48,492.461028
0.38975,241,493.625227
8.073628,964,497.79532
0.234865,59,498.204209
10.179901,1001,503.007569
0.129062,50,503.379865
0.466052,173,504.266051
0.116719,50,504.636796
9.697215,1001,509.747417
0.119065,49,510.115654
1.427755,329,511.651209
9.581351,1001,515.971343
7.067309,1001,520.307093
8.15422,1001,525.438884
9.195867,1001,529.76032
7.67334,1001,534.078946
8.630135,1001,538.380442
9.31158,1001,543.494016
7.40752,1001,548.21849
10.689598,1001,552.516042
8.509921,1001,556.824492
0.06766,45,557.179219
10.264432,1001,562.342159
9.183919,1001,566.641146
0.088362,44,566.986636
0.190875,82,567.499951
10.845176,1001,571.808668
9.098642,1001,576.096134
10.060928,1001,581.173859
0.127676,53,581.556301
0.182956,63,581.98039
