#{"t_start": 1765552237.536559, "env_id": "None"}
r,l,t
24.08834,56,0.994992
29.649246,46,1.341907
60.632337,95,1.885719
38.177963,84,2.382068
836.484184,892,6.067699
1005.644579,1001,10.178994
19.803368,48,10.534129
395.564369,844,14.017581
477.348328,756,17.154872
906.165005,1001,22.093416
726.722633,1001,26.279824
271.548318,342,27.826339
94.627694,181,28.699394
895.089961,1001,33.100851
27.794491,52,33.477231
230.568403,288,34.824294
398.006894,490,36.972996
27.534537,60,38.50733
165.14569,250,40.013868
137.90014,193,40.987374
20.161269,42,41.364788
168.269686,338,43.165587
287.897651,753,46.52478
808.770204,1001,50.700538
194.504722,222,51.775764
169.179949,238,52.940576
34.011604,64,53.37847
679.355316,1001,58.530533
543.651937,745,61.730153
24.405595,59,62.134914
23.472131,53,62.52456
139.52963,193,63.493876
31.416084,50,63.862182
533.32152,1001,68.297443
25.538334,57,68.69656
393.765237,1001,72.907327
27.169109,48,73.267153
49.28642,81,73.762181
185.19423,219,74.818128
19.586838,43,75.156715
610.288844,1001,80.070666
604.742842,1001,84.251121
414.285806,436,86.167818
801.316552,1001,90.326846
411.131092,670,93.179595
25.856139,60,93.589344
643.816059,1001,98.457596
25.956206,64,98.884392
403.510084,1001,103.061927
71.636038,98,103.618414
436.248593,725,106.68209
21.27155,54,107.064213
686.917492,1001,111.281455
224.940415,273,112.547931
50.835428,95,113.099445
37.283765,61,113.517304
587.431219,693,117.209619
272.98634,1001,121.392198
29.485926,47,121.744628
18.890059,43,122.08589
715.394085,1001,126.270981
33.748265,58,126.668973
321.018493,350,128.239557
19.624768,45,128.58289
139.417178,196,129.534454
87.991127,114,130.153682
584.990221,851,134.431084
450.355047,1001,138.646545
24.919953,55,139.033512
727.932378,1001,143.601613
1008.805128,1001,147.816781
34.95733,59,148.224353
752.384935,1001,153.085968
196.839327,229,154.168033
1018.06696,1001,158.328955
618.507343,1001,162.507107
1000.88244,1001,166.667479
1058.95072,1001,171.531742
22.873534,51,171.903628
168.918915,231,173.013644
747.490151,950,177.058538
75.83875,128,177.74264
20.968539,52,178.117663
65.752829,84,178.618571
26.933983,54,178.999656
729.123112,887,182.722186
24.586712,48,183.086204
615.088822,795,186.428386
22.101241,55,186.815509
516.159747,848,191.074588
30.344674,58,191.477391
758.858505,1001,195.646312
975.27139,1001,199.826337
69.094207,136,200.538246
913.244322,1001,204.727382
