#{"t_start": 1766015950.8277752, "env_id": "None"}
r,l,t
11.29742,1001,7.200098
0.549871,56,7.789649
8.20298,1001,14.046728
9.398962,1001,20.561042
0.696202,77,21.322499
9.243703,1001,29.03717
0.57873,57,29.673451
0.481754,45,30.22845
0.640573,60,30.874636
5.312551,1001,37.272651
11.264864,1001,43.76283
0.553546,54,44.380933
11.197329,1001,50.868116
10.1993,1001,58.296833
0.539145,48,58.861364
0.621405,73,59.576972
0.595764,55,60.185323
0.528738,49,60.750409
6.082519,1001,67.187006
8.24412,1001,73.644408
7.040169,1001,80.08071
5.374135,1001,87.561857
0.610174,57,88.187724
6.564525,1001,94.648761
5.619634,1001,101.021892
0.698227,64,101.67903
6.088031,1001,108.017489
0.595662,54,108.61581
0.610616,54,109.212846
0.797049,77,109.945485
10.606653,1001,117.444294
11.157165,1001,123.941321
1.598574,150,125.166645
1.817117,176,126.573693
0.561833,52,127.185105
6.414275,1001,133.870986
9.323864,1001,140.376365
5.419116,1001,148.044591
11.24913,1001,154.684115
0.984757,97,155.581875
0.623963,60,156.241471
11.064198,1001,162.886601
1.172819,113,163.8909
0.762646,73,164.63963
0.636156,61,165.302964
6.619876,1001,172.963522
6.087404,1001,179.436094
5.989783,1001,185.836135
6.228486,1001,192.256664
5.776032,1001,199.725551
7.531117,1001,206.212175
10.396866,930,212.379249
7.269237,1001,218.822237
11.013354,1001,225.379048
6.870544,1001,233.129357
0.703547,62,233.823878
1.338423,123,234.92197
4.028345,373,237.660578
0.764643,68,238.390957
0.856226,78,239.182263
11.120534,1001,245.989675
6.343873,1001,252.699536
0.52451,54,253.318496
9.88024,1001,260.944594
5.895248,1001,267.609921
1.095446,102,268.561998
11.112646,1001,275.227722
8.490085,1001,282.031879
6.169941,1001,289.697601
0.742027,70,290.409886
6.163862,1001,297.133445
7.27215,1001,303.859037
10.357253,1001,310.598812
8.194721,1001,318.375966
7.49119,1001,325.130885
8.512886,782,330.445391
3.810963,341,332.917864
1.144215,126,333.987771
5.552109,1001,340.742073
1.150455,107,341.719136
0.722137,66,342.431052
9.985389,1001,350.247756
10.262008,1001,356.989597
0.771859,69,357.701902
10.407635,1001,364.389679
6.558141,1001,371.100978
0.845784,73,371.854263
2.508498,233,374.660161
9.992341,1001,381.414054
6.349338,1001,388.166031
0.792308,71,388.909857
0.967449,91,389.782869
11.148026,1001,396.530575
6.84021,1001,404.306197
10.734381,1001,410.889893
6.271314,1001,417.404181
10.912761,1001,423.930338
7.924109,1001,431.728139
0.945007,90,432.603377
6.895188,1001,439.402277
1.07274,100,440.340228
6.105853,1001,447.03345
1.902732,188,448.541225
11.136545,1001,455.282302
0.799553,68,456.007634
10.503653,1001,463.787786
6.510693,1001,470.51753
1.007413,103,471.45259
7.157911,1001,478.14802
2.626834,316,480.486639
9.866972,892,486.507705
0.801704,73,487.261289
9.25574,841,494.017689
10.792207,1001,500.684156
6.405142,626,505.046639
9.863346,1001,511.823405
9.128623,1001,519.635357
0.875867,78,520.425065
8.317087,1001,527.222695
1.631178,144,528.449399
9.114439,1001,535.236472
7.654902,1001,542.009623
0.947143,88,542.867144
0.975643,87,543.706021
11.025364,1001,551.479034
1.316295,119,552.544437
7.940322,1001,559.314425
9.691915,1001,565.971193
11.284763,1001,572.522286
1.066025,95,573.392445
6.725637,612,578.507375
8.101405,1001,585.066915
10.026717,1001,591.695466
10.749622,1001,598.326702
1.839732,177,599.714721
7.509906,1001,607.369672
0.736636,71,608.122219
4.847322,479,611.548503
1.301224,124,612.648395
