#{"t_start": 1765673115.6117172, "env_id": "None"}
r,l,t
59.723694,50,0.942898
77.918508,75,1.408939
976.213803,510,3.616887
885.114805,611,6.226224
65.981206,48,6.584468
1486.220114,1001,11.008317
83.824587,58,11.42603
56.57727,50,11.79728
1056.518424,651,14.833505
592.1688,1001,19.204728
757.742566,497,22.194102
1098.983696,1001,26.328667
1385.681393,776,29.542115
56.734785,41,29.884394
972.364036,1001,34.043468
135.130473,129,34.721202
68.765575,49,35.087416
1887.709621,1001,39.921944
1335.419882,1001,44.032154
952.119509,623,46.643029
224.893075,196,47.594502
99.036183,69,48.036065
1005.069118,1001,52.15649
56.735531,57,52.545444
1397.305302,856,56.821026
590.006478,849,60.373422
66.978469,52,60.74703
404.456484,265,61.963983
55.694698,52,62.336559
275.809207,243,63.470788
821.046311,768,66.711864
414.540927,1001,70.929785
1107.152066,726,74.004732
80.652201,59,74.404826
51.68007,41,75.472175
762.447825,1001,79.64633
58.240531,53,80.02847
76.54241,61,80.438871
1021.713883,1001,84.616397
601.684508,630,87.291451
817.291756,1001,91.456879
1744.301054,1001,96.393566
338.781397,189,97.327052
1674.914558,1001,101.554501
623.954311,355,103.141048
338.596839,236,104.256379
61.643759,57,104.650366
57.110185,62,105.066258
439.168642,318,106.504513
1834.077658,1001,110.681892
1777.168236,1001,115.626194
1313.724268,1001,119.79613
210.697267,130,120.490434
996.988377,540,122.822444
99.677202,137,123.537747
1915.048078,1001,127.714217
91.967606,68,128.155923
108.941444,85,128.662784
76.296467,62,129.0777
68.023402,55,129.467245
568.659734,392,132.032006
1173.816143,1001,136.277335
1441.452754,1001,140.52879
1759.82156,1001,144.714467
1295.139392,1001,149.710646
1515.486897,1001,153.89714
1403.85163,806,157.302277
1147.373351,1001,161.488817
687.216429,491,163.627035
510.600129,317,165.059865
488.311087,321,166.518002
71.044041,48,166.874021
109.830379,90,168.205176
77.001762,58,168.606387
109.095134,142,169.343679
1925.257314,1001,173.51433
49.703597,50,173.881168
1908.866003,1001,178.110706
1411.21263,1001,182.286872
67.707142,52,182.663408
1679.131723,1001,187.645986
256.144265,169,188.493175
1422.204369,1001,192.668649
1899.482149,1001,196.861806
1747.154126,1001,201.052058
1352.292425,1001,206.052092
84.382042,61,206.466512
96.477944,84,206.970357
223.920123,175,207.83812
1173.325629,748,211.005159
80.330621,60,211.413645
706.995848,729,214.507766
936.979018,503,216.701579
1770.948376,1001,220.879397
1223.136063,873,225.364018
69.31941,51,225.734291
240.448996,153,226.518617
520.057228,1001,230.722577
110.312787,76,231.197977
480.481283,287,232.513827
1119.431936,1001,236.709564
973.79507,1001,240.882849
94.228267,85,242.202214
1547.233979,1001,246.391817
845.713581,814,249.84169
1720.48625,1001,254.019459
617.053319,628,256.724157
421.973359,386,258.435804
83.288882,58,258.833431
1817.617766,1001,263.833759
1517.107639,1001,268.034723
135.536133,180,268.921934
74.141026,72,269.377597
370.369275,304,270.764997
94.906391,55,271.163403
457.661002,351,272.751538
101.367408,86,273.312662
1789.606129,1001,277.70144
1122.250337,1001,282.70206
1360.164573,1001,286.881375
698.56762,375,288.553294
67.065757,48,288.915667
703.984669,414,290.744229
1164.200462,1001,294.92973
62.49554,55,295.319065
314.847007,203,296.29867
1798.415804,1001,301.306007
1077.370643,1001,305.502353
386.222734,391,307.258089
1117.171927,850,310.950438
516.813913,329,312.442466
459.63823,776,316.541309
79.242577,61,316.954048
76.008073,48,317.316945
1724.143485,1001,321.484856
1957.274479,1001,325.675581
1685.610868,1001,329.861743
441.306727,328,331.354544
439.894395,479,333.443114
1795.534132,1001,338.439652
1590.647696,1001,342.607329
48.459917,49,342.97304
854.711294,582,345.467418
1230.596003,1001,349.635019
66.166983,53,350.022964
987.060972,1001,355.007818
766.145862,538,357.330922
1703.280515,1001,361.496905
1057.960173,932,365.410255
83.71604,87,365.927569
936.789397,669,368.795104
1667.840078,1001,373.774387
59.412134,55,374.163081
63.093265,57,374.559786
59.166333,43,374.902971
1203.303,1001,379.072453
77.298057,57,379.47351
350.758383,273,380.730873
803.029345,1001,384.914776
1259.119508,874,388.582396
836.594652,1001,393.580087
636.051894,624,396.266078
84.811253,67,396.701651
1533.766172,1001,400.892279
1091.858665,832,404.397478
69.889045,52,404.773279
51.520215,47,405.128367
214.663774,143,405.866852
102.389006,90,406.395944
96.70408,72,406.854389
704.866346,1001,411.863219
59.638955,46,412.216877
201.055733,148,412.979518
1395.187355,1001,417.17772
944.147147,584,419.691554
1725.204237,1001,423.866873
1578.055705,1001,428.85244
1780.466761,1001,433.041431
57.082946,50,433.410927
68.12415,51,433.780628
1925.402289,1001,438.038271
68.292242,69,438.484839
94.087839,53,438.864085
74.922173,44,439.207673
477.062226,348,440.772874
70.618598,56,441.162947
585.076982,464,443.193891
383.262851,489,445.329288
1592.708345,1001,450.327755
776.307627,1001,454.514696
61.443256,46,454.871796
496.216845,322,456.326638
1823.479886,1001,460.513846
240.991631,260,461.727189
486.407916,322,463.186395
1335.456222,1001,468.177448
1115.906732,836,471.711766
103.112168,75,472.183016
1500.945299,1001,476.369973
80.16123,56,476.761399
60.142878,54,477.146992
57.422846,57,477.542695
55.730925,43,477.884888
662.088803,436,479.796421
79.007092,54,480.181224
50.482028,41,480.513642
1853.23484,1001,485.520671
462.19157,271,486.774999
82.862755,60,487.183934
263.429239,420,489.034097
101.339169,71,489.486148
2022.167164,1001,493.682643
1643.985546,1001,497.876873
54.151279,49,498.244148
590.61771,337,499.76137
84.567558,53,500.143779
1643.587089,1001,505.137053
604.576609,358,506.739082
1224.175572,783,510.042187
52.462361,46,510.391178
935.964902,498,512.564072
1920.287824,1001,516.750376
108.583526,83,517.25537
92.673543,55,517.645189
1173.974423,692,520.592132
1907.254287,1001,525.587947
1282.136139,807,528.997006
1528.392224,863,532.617636
1769.552773,1001,536.811345
1675.020026,1001,541.798574
1714.98398,1001,545.984377
700.168826,508,548.180774
1555.328662,1001,552.366865
1724.888953,1001,556.551911
608.506815,340,558.911944
66.210899,50,559.282838
1586.979441,1001,563.483013
1114.694568,832,566.997701
67.161292,49,567.363098
1583.506145,1001,571.547897
1654.567706,1001,576.537001
1882.332423,1001,580.731723
80.520213,57,581.127235
1510.158087,1001,585.322747
1776.893794,1001,589.549767
1362.403146,1001,594.752219
235.393348,153,595.533477
55.449718,50,595.904484
1991.279453,1001,600.096017
219.089368,125,600.768189
1491.193272,1001,604.940664
56.144712,45,605.287939
1634.918005,1001,609.455773
1045.288042,1001,614.474882
1220.159184,626,617.179359
346.642122,231,618.277824
76.089725,48,618.637957
1532.54364,1001,622.830304
1054.324348,618,625.487365
83.331013,59,625.887327
910.662027,737,629.018703
1684.811052,1001,634.012282
1433.72227,1001,638.212093
1655.39331,1001,642.390586
303.845855,250,643.570955
114.429487,87,644.088157
64.487914,48,644.447315
1442.891722,1001,648.635383
1709.094671,1001,653.630244
583.091414,374,655.301694
1870.317854,1001,659.488149
1852.846636,1001,663.673804
59.250198,51,664.046122
726.68139,518,666.299116
556.062011,1001,671.305201
72.362298,58,671.7072
774.421893,1001,675.90269
1178.569485,1001,680.113058
320.354958,275,681.382818
1936.199298,1001,685.575135
657.026027,1001,690.576801
1796.685966,1001,694.783009
1858.710327,1001,698.973644
639.936357,460,700.998746
1772.776776,1001,705.984096
787.463619,468,708.032082
1797.527105,1001,712.223018
53.156463,51,712.598057
1749.688021,1001,716.78816
841.86439,769,720.042305
71.610358,45,720.391599
1835.753832,1001,725.382071
943.548732,556,727.779585
750.994676,474,729.85297
1978.534536,1001,734.035144
78.943978,58,734.438304
1737.287856,1001,738.759282
53.172464,54,739.145191
94.565715,61,739.556755
1819.023266,1001,744.568591
52.890297,61,744.982084
88.560187,54,745.371629
2062.074593,1001,749.574527
162.487358,126,750.249875
80.889796,48,750.611266
1241.476555,1001,754.805272
1584.171561,1001,759.003899
1396.915124,1001,763.985459
94.237819,60,764.395378
75.454006,51,764.764711
1517.743611,1001,768.969745
1275.300368,1001,773.154403
108.454362,87,773.672791
1231.775526,1001,777.862806
56.78145,41,778.197059
57.933861,56,779.395228
73.124658,49,779.758828
613.729603,399,781.532949
1074.217757,1001,785.724746
471.732448,251,786.90537
1734.245567,1001,791.097771
87.446844,88,791.622382
1370.36068,1001,795.813702
1853.985427,1001,800.81155
971.832519,1001,805.000176
1416.912446,1001,809.196131
1579.313559,1001,813.395398
1306.457999,1001,818.428447
1145.757607,906,822.234915
1753.853167,1001,826.427592
435.684171,323,827.896483
1891.946429,1001,832.094566
83.856534,55,832.481574
79.53993,47,832.836083
2092.740885,1001,837.836477
1262.693576,907,841.6385
1762.9791,1001,845.830176
927.558259,1001,850.010736
1890.817245,1001,854.998723
1747.365037,1001,859.178156
1102.216494,1001,863.387166
1153.061331,1001,867.570088
59.838975,41,867.903658
713.326189,462,870.72056
1776.673443,1001,874.915654
1782.763033,894,878.696673
133.299084,124,879.363836
332.710511,275,880.633728
2109.27665,1001,884.844133
1024.497276,1001,889.81579
1325.385576,655,892.619847
1130.422687,1001,896.819199
1669.765745,1001,901.016685
1676.700575,1001,905.197032
456.686188,435,907.918047
60.817574,54,908.305246
92.863237,52,908.684347
1272.845154,905,912.484613
