#{"t_start": 1766006665.4186852, "env_id": "None"}
r,l,t
-0.102431,20,1.280971
-0.114307,19,1.759911
-0.076841,24,2.267694
-0.146351,20,2.77394
-0.062122,21,3.282729
-0.106833,20,3.786073
-0.109624,20,4.274536
-0.082303,21,4.765567
-0.107759,20,5.278029
-0.153991,19,5.771676
1.100798,560,10.91614
-0.115517,19,11.408816
-0.086866,20,11.944676
-0.095776,20,12.452066
-0.063831,21,12.947767
-0.077711,22,13.43062
-0.112508,20,13.925412
-0.082238,21,14.46721
-0.071267,24,15.003559
-0.142266,20,15.523428
-0.10654,20,16.033059
-0.130087,20,16.534767
-0.102837,19,17.033482
-0.146443,19,17.547112
-0.103409,20,18.073595
-0.148096,19,18.557288
-0.049259,25,19.118933
-0.135296,20,19.614737
-0.105373,23,20.135346
-0.142744,20,20.672948
-0.127852,20,21.226066
-0.133165,19,21.815803
-0.090322,21,22.334496
-0.06181,23,22.880623
0.214111,194,24.91581
-0.021027,26,25.484674
-0.119093,20,25.97481
-0.136822,18,26.465039
-0.125415,19,26.959648
-0.076751,22,27.466612
-0.064606,24,28.001742
-0.112918,20,28.509383
-0.136837,20,29.045178
-0.078765,24,29.649845
0.33034,290,32.416968
-0.077315,22,32.942353
-0.124299,19,33.452687
-0.138529,19,33.951108
-0.120675,20,34.46827
-0.118468,23,35.006239
0.353845,313,38.11659
0.111648,135,39.599114
-0.076676,22,40.128459
-0.092592,22,40.640571
-0.116718,20,41.13872
-0.117271,21,41.638069
-0.160708,18,42.170609
-0.108962,20,42.686791
-0.121568,19,43.194606
-0.131872,20,43.730654
-0.084609,20,44.223653
-0.128497,21,44.762657
-0.123177,18,45.244954
-0.09689,21,45.756964
-0.090526,21,46.276863
-0.107657,20,46.800503
-0.145168,19,47.322359
-0.118745,19,47.893749
-0.125845,19,48.470679
-0.127249,19,49.055032
-0.107657,21,49.624241
-0.104936,19,50.229386
-0.135419,19,50.81375
-0.113755,20,51.401121
-0.131079,18,51.974909
-0.103005,20,52.511361
0.877065,496,57.844142
-0.093085,21,58.445477
-0.171983,19,58.979879
-0.091239,21,59.534847
-0.06715,25,60.089528
-0.111693,19,60.633597
-0.096863,21,61.164225
0.340202,249,63.800153
-0.081164,20,64.363395
-0.134486,18,64.906958
-0.122227,20,65.465333
-0.120611,20,66.075317
-0.077917,20,66.642604
-0.143048,20,67.193804
-0.090404,21,67.812251
-0.108255,19,68.355256
-0.085869,21,68.910382
-0.140586,18,69.440921
-0.115657,20,70.03518
-0.109566,20,70.579602
-0.10745,20,71.151938
-0.03997,22,71.739187
-0.139594,22,74.354261
-0.113615,20,74.868963
-0.104862,21,75.391165
0.453904,213,77.598467
-0.132055,19,78.160819
-0.063449,23,78.770446
-0.11172,20,79.340445
-0.087039,20,79.863295
-0.121931,21,80.40731
-0.083239,21,80.945801
-0.114888,19,81.422224
-0.112837,20,81.958272
-0.116471,20,82.483478
-0.143299,19,82.995762
-0.152224,21,83.521474
-0.168846,18,84.034858
-0.143585,18,84.542656
-0.049131,22,85.092264
-0.093472,22,85.675921
-0.066935,22,86.259691
-0.162346,20,86.857177
-0.055995,23,87.444483
-0.103772,20,87.949178
-0.154618,19,88.542551
-0.090624,21,89.139683
-0.098551,22,89.789078
-0.077163,21,90.353502
-0.084443,20,90.898198
-0.090269,20,91.413888
-0.105236,20,91.991048
-0.057004,23,92.553231
-0.14116,19,93.085598
-0.129715,21,93.665724
-0.108888,21,94.195081
-0.075965,20,94.751504
-0.100381,20,95.27474
-0.079712,21,95.834999
-0.152194,19,96.368984
-0.13877,21,96.934167
-0.044184,24,97.503072
-0.084944,21,98.000339
-0.089513,20,98.54479
-0.104226,20,99.087009
-0.11529,19,99.604556
0.52805,323,103.016691
-0.098408,20,103.618727
-0.140348,19,104.164442
-0.097619,20,104.693011
-0.110309,19,105.263254
-0.127975,20,105.832945
-0.130896,19,106.40243
-0.05694,23,107.028171
-0.09174,20,107.594554
-0.119325,19,108.124809
-0.167356,18,108.622024
-0.079632,21,109.133224
-0.134436,19,109.615263
-0.131221,19,110.156819
-0.145372,19,110.678232
-0.056481,23,111.244281
-0.09027,21,111.751331
-0.136707,19,112.280805
-0.06947,23,112.849631
-0.106673,21,113.385028
-0.087414,21,113.924054
-0.119961,20,114.46095
-0.09987,22,115.01777
-0.128667,19,115.549567
-0.137857,21,116.059782
-0.104042,21,116.59621
-0.153636,18,117.126985
-0.076333,21,117.64518
-0.082553,20,118.163396
-0.049124,24,118.750631
-0.121176,19,119.356471
-0.106087,21,119.886966
-0.130171,19,120.445961
-0.116628,25,121.06507
-0.051267,27,121.639115
-0.103848,20,122.14734
0.542665,415,126.33741
-0.102554,22,126.86297
-0.056364,21,127.424106
0.435712,392,131.42601
-0.056214,23,132.016747
-0.137468,19,132.537826
-0.061531,24,133.100263
-0.145448,18,133.575664
-0.110446,21,134.076262
-0.116269,19,134.564634
-0.039816,24,135.087753
0.563228,280,137.835469
-0.044198,25,138.409889
-0.083506,21,138.863581
-0.104909,19,139.296207
-0.084413,21,139.749529
-0.116457,19,140.174687
-0.119724,19,140.594304
-0.091103,20,141.020909
-0.121465,21,141.441153
-0.110827,19,141.885817
-0.130626,19,142.312513
-0.05566,22,142.753064
-0.16094,19,143.176279
-0.094394,21,143.610277
-0.111778,20,144.03454
-0.083638,20,144.45558
-0.120624,20,144.875998
-0.079256,21,145.308628
-0.125659,19,145.725799
-0.082341,21,146.166954
-0.128431,20,146.607535
-0.087606,21,147.089296
-0.110346,20,147.514549
-0.155298,20,147.954078
-0.140715,19,148.46408
-0.068971,25,148.921151
-0.084987,23,149.370961
-0.107657,20,149.799942
-0.097252,22,150.297282
-0.117621,20,150.721111
0.088815,133,153.336131
-0.02922,26,153.789752
-0.112323,24,154.277243
-0.104514,19,154.758777
-0.090303,21,155.194968
-0.068399,22,155.643083
0.230911,153,157.050051
-0.083413,20,157.574632
-0.096279,21,158.009706
-0.10162,20,158.469029
-0.07156,21,158.925141
-0.065208,22,159.354933
-0.078243,22,159.778151
-0.114725,19,160.179046
-0.128071,18,160.590541
-0.157728,21,161.020283
-0.142511,18,161.416341
-0.111541,20,161.822803
-0.120622,19,162.21653
