#{"t_start": 1765988603.028185, "env_id": "None"}
r,l,t
0.171383,50,4.863054
0.616808,148,8.290698
8.903014,1001,27.278959
0.043413,50,28.9287
8.167442,1001,47.042325
0.027143,41,48.020497
0.148762,47,49.059567
8.38423,1001,62.460647
9.001044,1001,78.675399
1.781663,283,84.524462
1.918707,340,90.942743
5.514007,859,107.13841
0.016145,40,108.324765
0.141643,58,109.893805
0.848312,336,116.578104
0.120745,49,117.927261
8.022557,1001,137.535748
0.192773,183,141.715616
1.989166,1001,163.239981
0.175141,80,165.431301
0.187756,54,166.867662
4.664057,694,179.87953
2.269869,398,188.359245
8.864586,1001,208.55571
3.755318,681,219.439872
8.138036,1001,249.228693
1.247631,367,261.793411
4.356975,508,284.502064
0.129108,53,288.61632
0.174103,52,291.494445
7.928538,1001,325.513797
1.13331,245,331.945356
4.42957,1001,357.239513
0.51541,150,361.115584
9.955436,1001,395.865114
0.214401,59,399.018282
1.121255,322,408.715949
2.157953,1001,432.049387
0.179785,54,434.245792
0.01,44,436.111779
0.234717,93,438.611984
2.12302,1001,459.694335
1.403464,322,466.933509
9.041844,1001,489.812755
0.25152,75,492.625037
2.581863,582,507.234122
6.548719,842,526.822443
0.446636,89,529.488886
0.09999,46,531.315658
0.166553,87,533.815186
0.090889,50,535.466887
2.931819,421,544.077358
2.469566,491,554.477492
4.445876,761,570.05232
0.15409,53,571.850862
0.143294,52,573.670732
9.703038,1001,597.966172
5.947004,1001,620.322844
6.072873,1001,642.831034
0.035882,43,644.592736
9.271568,1001,664.500266
4.345265,1001,689.029732
0.125712,54,691.005793
0.15554,59,692.979559
0.185058,62,695.181515
0.217783,57,697.359084
8.640773,1001,719.589259
9.008598,1001,742.948336
8.679014,1001,766.29397
10.478781,1001,790.844009
3.34359,870,811.721417
2.451714,427,822.745086
2.000112,309,830.353134
0.921038,221,835.903761
0.113118,53,837.723338
1.523128,278,846.060308
8.926172,1001,869.74319
2.546962,641,886.584126
0.927047,249,892.883905
0.272372,61,895.058143
7.445236,1001,919.053688
0.04078,43,920.774953
8.404464,1001,942.447897
9.73073,1001,962.534366
0.143875,79,964.899555
7.012218,976,989.064655
0.19321,65,991.296745
0.687587,142,995.54315
0.041611,74,998.163641
8.441748,1001,1020.665832
8.258137,1001,1041.521087
0.152792,53,1043.416361
3.321782,515,1054.568857
2.996627,565,1069.308757
5.984985,859,1088.897642
3.144096,549,1101.622973
0.091362,52,1103.681326
10.780766,1001,1127.867551
7.492463,1001,1149.77975
0.286327,188,1154.457112
3.609007,1001,1180.273099
6.637462,1001,1203.451804
0.091949,49,1205.360325
1.351569,239,1211.695072
1.738495,299,1218.853105
7.706754,1001,1241.924266
8.17466,1001,1264.869586
0.106796,52,1266.757055
8.72571,1001,1289.748447
9.302105,1001,1310.676627
6.394371,1001,1331.139553
1.558675,718,1345.697214
9.366318,1001,1371.436278
6.551707,1001,1394.10702
8.304114,1001,1415.566238
6.755518,935,1436.543432
0.171333,49,1438.508944
7.420537,1001,1464.156945
10.812042,1001,1486.825715
7.165131,1001,1507.845572
0.174382,51,1509.630899
10.392504,1001,1529.832803
5.64416,1001,1553.983333
0.52739,149,1558.20084
7.441497,1001,1580.62249
8.473198,1001,1601.263824
10.445819,1001,1621.314303
1.080087,326,1631.012591
0.109996,48,1632.863994
7.82592,1001,1656.269225
0.06607,46,1658.464164
0.082236,107,1661.39235
0.192902,59,1663.349065
0.035862,42,1664.944589
0.188527,56,1666.802371
0.108436,54,1668.676001
0.181118,53,1670.485063
0.088377,46,1672.112223
6.503908,1001,1692.345915
0.285578,95,1694.872048
8.222658,1001,1714.953482
0.345026,137,1718.275803
0.117085,45,1719.989764
8.743378,1001,1745.032198
0.055563,44,1746.80817
8.78247,1001,1770.219227
9.344992,1001,1790.625497
0.958857,320,1797.694173
0.881125,383,1805.853952
4.80946,1001,1829.852567
6.424231,1001,1854.119125
8.64312,1001,1874.561856
10.025994,1001,1895.895602
6.940122,1001,1919.297081
6.382931,1001,1941.92387
4.133671,775,1957.952475
5.437921,932,1976.705405
5.781214,1001,1996.856885
4.63922,1001,2021.922095
8.390338,1001,2045.018457
5.170749,1001,2066.356483
6.833812,1001,2087.737099
0.139066,53,2089.598487
2.534101,1001,2116.451452
8.701149,1001,2140.201888
0.168179,57,2141.997443
0.170697,52,2143.728296
6.105469,1001,2163.999763
5.479727,1001,2184.433225
0.241307,57,2186.270553
8.897204,1001,2211.677672
8.430698,1001,2234.314559
9.790465,1001,2255.081519
0.216449,68,2257.16069
9.432068,1001,2277.434658
5.368873,881,2299.720115
6.075935,1001,2322.408684
7.728878,1001,2343.159252
8.875743,1001,2367.452525
0.065976,49,2369.177937
9.07844,1001,2394.658802
7.413396,1001,2417.973921
7.493148,1001,2438.829685
9.484152,1001,2459.110608
7.263573,1001,2483.737915
2.91514,1001,2506.351862
0.07532,45,2508.354322
8.923036,1001,2531.30979
6.971553,1001,2551.252958
0.451888,96,2553.810464
0.193084,68,2555.947872
9.158773,1001,2580.556906
6.532717,968,2602.415397
8.848457,1001,2625.524143
8.251325,1001,2646.324087
7.347953,1001,2671.506084
0.209924,60,2673.54429
6.722905,1001,2695.937867
7.653147,1001,2720.69118
0.089205,43,2722.303191
8.13833,1001,2742.64114
4.937573,1001,2767.230671
0.240161,58,2769.464163
0.086757,51,2771.418802
7.978661,1001,2794.21967
7.47838,1001,2816.896728
6.25245,1001,2839.546527
6.657412,880,2862.220857
7.290018,1001,2884.67943
1.216484,1001,2904.94732
0.465727,174,2909.146118
9.010062,1001,2929.323006
7.701786,1001,2953.898079
8.987267,1001,2977.94534
9.995112,1001,3003.099406
7.632669,1001,3023.850229
9.444654,1001,3048.193679
8.342768,1001,3070.415253
0.107358,52,3072.220181
9.063581,1001,3092.334992
3.335087,1001,3112.988698
2.072671,1001,3137.006965
5.905452,695,3152.777176
2.104496,1001,3173.332716
6.282737,1001,3193.500038
1.481252,299,3199.851395
5.699789,1001,3223.637997
