#{"t_start": 1765668271.252202, "env_id": "None"}
r,l,t
55.403696,49,0.988132
1645.633321,1001,5.15834
154.459217,99,5.715261
1330.764646,1001,10.094081
506.960164,574,12.536621
241.961187,282,13.802979
65.782611,52,14.165698
1277.977474,1001,18.255981
706.205151,1001,23.138168
42.490304,42,23.467444
106.671627,86,23.968031
1018.406926,1001,28.056153
53.938417,55,28.436898
65.853558,63,28.850552
371.980588,386,30.53597
98.969844,134,31.23474
53.148447,55,31.613721
922.794587,1001,35.691795
1348.457425,1001,40.53256
413.935351,295,41.865141
418.101975,350,43.396433
1202.129394,791,46.647117
537.471893,1001,50.732408
1922.397026,1001,55.54398
412.332315,592,58.034551
639.809825,1001,62.123868
1890.152799,1001,66.208354
47.646709,47,66.555251
477.624523,288,67.84358
75.665982,88,68.346837
1343.028582,1001,72.424303
459.70192,384,74.812351
682.722239,472,76.82844
1620.176553,1001,80.902957
72.973955,56,81.287166
806.365317,836,84.726105
45.739226,43,85.058815
86.374944,88,85.565348
62.884629,55,85.944681
1764.385915,1001,90.033865
62.039944,49,90.388517
478.308356,906,94.8785
65.929623,56,95.264882
390.875917,292,96.574474
563.451376,576,98.982561
107.804432,92,99.501742
311.915838,263,100.695154
1197.835983,1001,104.767173
991.177461,576,107.187643
80.946134,67,107.609069
1732.642795,1001,112.425698
84.323368,75,112.885679
1589.375435,1001,116.975673
1841.734607,1001,121.051012
53.071691,43,121.381133
303.264251,354,122.931786
574.994471,911,126.649123
769.761892,757,130.504148
78.912985,91,131.028795
50.743368,48,131.381011
524.151019,334,132.853483
563.953805,475,134.906075
118.984062,93,135.438374
1022.858387,807,138.77575
51.159364,41,139.104968
416.043591,623,141.707184
914.204318,1001,146.521126
883.251144,1001,150.618212
403.698204,362,152.199978
361.744111,487,154.285288
56.97785,59,154.682499
94.306204,94,155.214289
843.196273,1001,159.298353
61.731564,56,159.683372
97.701637,142,160.406497
335.079624,271,161.631923
290.563559,274,162.861171
127.767729,131,163.539166
268.616838,178,165.138523
1786.955856,1001,169.254648
565.06346,851,172.768003
1615.439178,1001,176.873704
1630.904847,1001,180.997378
58.925481,56,181.380695
139.683415,103,181.951209
261.932002,328,184.152812
993.293576,1001,188.26436
1230.61439,1001,192.372464
908.929449,571,194.783903
624.905479,1001,198.952683
1623.85591,1001,203.819201
114.089362,92,204.347709
64.452245,65,204.767069
555.210426,344,206.296666
678.459444,686,209.175425
89.056818,86,209.683788
52.723039,58,210.077251
560.946321,605,212.630525
1480.763381,1001,216.755355
462.537487,297,218.09359
91.31805,100,218.651654
1034.898716,1001,223.520159
828.401385,515,225.717984
63.806468,55,226.105286
176.131034,219,227.139504
566.208207,327,228.601909
64.944246,60,229.003367
103.751804,86,229.511638
61.110091,53,229.886488
1113.443896,656,232.649269
123.324075,135,233.345871
1435.608028,923,237.181986
112.196486,97,237.730317
60.989122,53,238.855085
60.159092,48,239.209632
251.477062,203,240.188827
98.605368,83,240.682519
1587.442557,1001,244.808452
1096.784371,681,247.677287
542.587149,507,249.850452
76.177603,60,250.25222
110.564274,133,250.948456
1570.990017,1001,255.085312
1169.795412,1001,259.977745
1467.385261,1001,264.125082
1395.868242,1001,268.278369
1113.845822,908,272.113321
62.670989,50,272.472588
1001.425069,1001,277.400296
473.160799,321,278.848506
1740.809612,1001,282.994064
140.66143,138,283.705289
1405.428,1001,287.855967
51.98799,56,288.241859
982.93105,1001,292.389476
56.718058,58,293.525834
887.280764,864,297.13983
485.526831,1001,301.288854
63.007527,58,301.683286
375.556925,803,305.118974
902.632673,981,309.193596
1850.477558,1001,314.107259
1379.69113,1001,318.402453
915.674226,1001,322.61497
1134.742041,1001,326.783828
53.56661,44,327.128715
1433.621804,1001,332.030562
1764.593867,1001,336.204982
64.062671,47,336.558141
1375.572217,1001,340.727295
1360.606245,1001,344.896107
816.381759,1001,349.831834
1720.114462,1001,354.022362
544.121785,458,356.019124
102.308154,76,356.487619
122.241457,106,357.076769
1290.137376,1001,361.240058
1481.000745,1001,366.157374
1822.378634,1001,370.344611
1371.572005,873,374.014784
1301.114247,1001,378.180953
186.666886,188,379.102474
68.00185,61,379.511663
102.405116,90,380.0386
53.821014,59,380.441761
76.56003,78,380.918032
821.374148,1001,385.860631
752.944382,1001,390.050748
59.587628,64,390.477568
110.580281,93,391.011433
87.591697,67,391.448088
1912.593867,1001,395.623291
54.901902,54,396.002682
1791.351632,1001,400.187428
78.6474,56,400.577109
1067.126315,1001,405.519248
61.487756,68,405.960913
1493.979366,1001,410.165689
60.565343,52,410.537933
1694.993648,1001,414.706762
1625.164219,1001,418.88536
832.703422,955,423.617522
1397.317878,1001,427.799664
1421.219534,1001,431.967481
912.255149,1001,436.150122
1579.740573,1001,441.061579
1246.155584,1001,445.234349
99.69789,138,445.952331
1276.773637,805,449.331354
771.082183,714,452.36331
177.508233,121,453.017158
1563.666248,1001,457.937486
51.469494,59,458.339206
60.421667,61,458.746881
880.818045,1001,462.934771
1558.76709,1001,467.134214
125.098687,145,467.880972
503.014889,283,469.184027
1601.253635,1001,473.3869
48.234332,46,473.737201
1386.821184,1001,478.668436
1857.733791,1001,482.852933
1936.646042,1001,487.034676
70.170392,57,487.430762
758.769503,1001,491.813652
1526.923301,1001,496.786456
1689.924585,1001,501.096748
1278.738508,1001,505.331642
1963.329986,1001,509.509081
1508.028553,1001,514.46271
937.858849,1001,518.65063
1389.391895,967,522.70836
124.599432,99,523.268922
89.214612,101,523.842863
1968.258504,1001,528.033609
1335.303905,1001,532.96949
1133.305853,1001,537.165767
1819.51185,1001,541.348235
1803.38805,1001,545.579688
1092.807809,1001,550.514181
99.590462,85,551.02024
1691.440412,1001,555.20675
1533.291727,1001,559.37908
999.66582,1001,563.56272
1367.918375,1001,568.49201
1144.07648,1001,572.675386
135.338608,131,573.366455
1461.198355,1001,577.544094
1597.85906,1001,581.723693
72.247926,65,582.152525
60.748786,55,582.540348
854.12796,1001,587.514859
1571.588908,1001,591.698241
1763.497821,1001,595.892335
830.552421,1001,600.086488
1165.25216,1001,605.032726
337.00268,304,606.426118
1763.487358,1001,610.626167
51.919921,44,610.971466
57.273516,56,611.366745
1720.348139,1001,615.557553
53.624082,53,615.935083
1780.428355,1001,620.123992
1196.781488,1001,625.221857
1721.586155,1001,629.398953
1816.686548,1001,633.589512
1706.028164,1001,637.77591
1900.657307,1001,642.697264
1995.001061,1001,646.874657
2067.165252,1001,651.047278
1348.83934,1001,655.213977
1769.166182,1001,660.148809
1492.406522,1001,664.312469
113.403571,126,664.985522
1081.945272,1001,669.188821
73.37629,60,669.597959
69.669713,57,669.995117
406.315328,274,671.263399
1536.058902,1001,676.204262
1849.193004,1001,680.397171
95.793823,89,680.920886
1395.669098,1001,685.107617
64.653324,69,685.550472
1160.769309,1001,689.74401
1705.598426,1001,694.676869
