#{"t_start": 1765838549.51432, "env_id": "None"}
r,l,t
46.916197,77,6.025071
17.643816,20,7.639565
17.915334,19,9.196787
17.411404,21,10.588021
15.94088,18,12.13577
17.711887,19,13.457539
15.661675,22,14.838766
16.116637,19,16.16635
16.156073,21,17.782048
16.965283,20,19.532165
15.526359,19,21.35493
12.839292,21,22.9569
19.273253,19,24.483702
15.172284,18,26.025903
18.863257,21,27.85263
18.070395,20,29.399113
17.931302,26,31.008194
20.538684,21,32.867103
14.581074,20,34.384149
19.087633,20,36.164042
19.278862,20,37.931155
17.47676,19,39.717187
24.989788,26,42.350791
16.608283,21,43.936418
12.880128,18,45.716204
16.291788,20,47.229583
20.865978,20,49.028679
19.539735,21,51.101639
17.879181,22,52.914926
16.212849,21,54.995084
17.85047,21,56.277765
20.325807,21,57.78777
16.92356,18,59.309055
18.562682,20,60.583818
18.713722,19,62.178568
19.913203,21,63.796592
21.06853,24,65.900604
16.620547,20,67.987565
16.041062,20,69.796794
17.52502,20,71.328086
16.64882,23,72.870562
19.591091,21,74.164148
19.625411,20,75.456776
18.202277,21,77.260326
20.216027,20,78.816503
15.481067,20,80.129738
25.487305,24,81.525072
21.68564,23,82.844778
18.868809,23,83.646618
23.37702,22,84.69755
14.98858,18,85.44018
49.152099,75,89.216396
17.986422,21,90.545285
18.4335,19,91.867829
17.673519,19,93.412891
19.220211,19,94.953004
15.047592,18,96.450903
16.227085,22,98.296143
14.933704,20,99.863092
17.751119,22,101.435075
17.132929,18,102.985731
14.581845,18,104.543486
15.793112,23,106.386322
15.42909,21,108.212442
15.022757,20,109.759344
13.982182,19,111.280718
19.507862,21,112.561019
17.077564,19,113.655689
17.167721,18,114.970816
19.063182,19,116.226686
16.12386,20,117.528598
21.346915,22,118.860497
16.574507,21,120.401784
15.889983,20,121.947309
112.018045,121,128.392194
14.253929,19,129.4178
18.82658,21,130.71452
20.168668,20,132.528234
17.907131,20,134.333967
15.418785,19,135.912342
19.056835,21,137.749448
12.760342,20,139.346628
19.204879,20,140.633573
16.730144,22,142.203887
20.055908,20,143.765881
13.449378,20,145.314523
15.474394,19,146.878772
20.609385,24,149.040805
16.349342,22,150.895287
16.37872,19,152.97446
23.436698,24,155.090383
18.714481,22,157.223691
19.080398,19,159.089765
19.948775,24,161.536317
15.125949,18,163.301291
15.32126,21,165.124778
18.841968,21,166.943807
16.571985,21,168.781511
16.538643,21,170.61299
16.800512,21,172.193323
17.343887,19,173.477035
15.187502,20,175.535678
18.735729,20,177.390806
45.742102,69,182.700677
19.300416,22,184.564947
57.423938,111,194.7424
18.098507,19,196.583878
18.161996,23,198.801502
17.991039,21,200.409764
68.987195,96,208.745221
21.56189,22,210.588605
15.494955,21,212.413944
18.846111,21,213.986879
16.687879,18,216.050997
172.960932,246,236.756523
17.356051,20,238.364544
18.810415,21,239.678328
20.312381,20,241.043644
18.525991,21,243.186762
20.329736,23,245.091319
21.19034,25,247.020093
18.206167,20,248.64788
18.373228,21,250.224567
14.073361,18,251.563283
17.52979,21,252.920936
13.806228,19,254.755467
16.730329,20,256.328408
17.170084,18,257.643092
16.693879,21,259.293598
20.312871,20,261.124014
17.376838,20,262.734503
14.29218,20,264.8176
18.466488,21,266.695746
17.524369,20,268.56134
19.407839,22,270.695855
16.146438,21,272.317537
13.054241,19,273.658965
17.353493,20,274.974168
20.94753,21,276.552178
17.42563,18,277.615931
20.710838,23,279.236765
19.480003,21,280.297493
21.632171,21,281.884846
18.068965,19,283.510661
20.286477,22,285.441197
18.118017,23,287.082159
16.207351,20,288.433395
19.577514,23,290.321462
15.690432,18,291.885262
22.000492,22,293.794671
13.718541,19,295.362453
167.621062,173,308.448637
19.131202,20,310.308658
23.799644,25,312.557246
18.641455,21,314.486127
19.201402,21,316.375002
14.535916,20,318.519422
17.273611,21,320.926214
11.931098,18,322.787104
18.238978,20,324.664283
19.414068,19,333.647242
19.643959,19,334.978858
17.561255,20,336.336409
286.487195,461,359.050056
21.127121,23,360.979517
21.152415,20,362.544702
17.449098,19,364.200776
22.868235,22,366.083982
189.475069,312,382.100582
16.139724,20,383.184119
16.153731,20,384.300024
21.301566,20,385.379554
17.17614,21,386.733503
15.399184,19,387.528755
455.628614,586,414.381827
15.454326,23,415.511185
16.017047,21,416.601672
21.645504,24,417.994252
20.874958,21,419.321316
21.24426,21,420.411959
16.557421,21,421.749633
22.360313,21,423.380927
86.491953,126,431.080142
19.081575,22,432.432374
16.731336,20,433.78279
61.537789,125,438.7837
184.286187,209,445.234743
21.096517,23,446.616746
15.402687,19,447.913333
18.188943,22,449.545133
20.16968,22,451.452984
17.710209,22,453.075582
17.964502,20,454.408263
22.045918,20,455.46967
16.881308,19,456.824315
16.989236,22,458.145072
15.03453,18,459.710317
150.285013,211,469.706969
24.368732,26,471.10925
17.226588,24,472.482945
13.49893,19,473.245278
17.773918,18,473.986751
20.490454,22,474.821315
16.019233,20,475.867971
20.11613,19,476.942777
23.060458,24,478.333913
542.473068,758,514.271784
13.10677,18,515.839936
16.093562,18,517.156795
15.894292,21,518.770174
16.34613,21,520.105316
16.87959,20,521.410869
68.301032,130,527.652914
22.290329,25,529.090363
23.15292,21,530.173106
15.655662,20,531.231987
20.23532,20,532.31256
19.742296,21,533.39853
16.317072,21,534.473039
26.144777,27,535.631266
18.037119,21,536.965745
370.767406,509,558.818044
24.656777,25,559.413495
661.769766,799,585.510505
19.752015,22,586.628689
73.894377,93,592.113666
173.415038,213,602.069066
16.412988,21,602.86368
18.733525,20,603.652839
21.597834,23,604.535336
18.189937,23,605.095219
182.93177,323,613.625809
20.520152,22,614.737597
19.817155,21,615.554009
23.334955,27,616.7272
100.241485,144,622.691405
101.639712,131,626.031105
77.437645,122,629.053106
21.366882,23,630.18747
20.88639,26,631.637675
17.487476,24,632.799548
19.545908,22,633.961777
667.250955,1001,659.804879
263.608253,422,672.924607
16.182707,22,674.312814
356.226926,502,695.07829
16.766221,21,695.659592
17.424685,23,696.543384
21.322382,20,697.066622
25.152493,25,697.676737
21.809921,22,698.254297
18.980595,22,698.835283
180.827117,267,704.045224
198.642588,341,709.795699
304.633677,342,717.419848
17.109151,22,718.588174
19.584731,22,719.417405
22.4288,23,720.289452
13.465642,20,721.124758
19.449799,25,722.282757
19.228723,21,722.86888
16.672356,22,723.722722
472.14533,759,739.213587
15.98841,20,740.053521
423.552411,546,751.240136
439.450201,674,766.24083
564.84431,1001,794.070776
757.671396,1001,811.227405
640.57342,971,827.706969
20.238093,22,828.260205
241.692066,258,832.169515
21.115977,23,832.736658
22.482561,22,833.288595
21.535263,23,833.880124
21.884697,26,834.77694
789.334561,1001,851.941932
21.086759,24,852.805444
803.888455,1001,877.061715
689.551808,1001,892.240201
697.32762,1001,908.181784
631.005833,1001,923.480704
888.000286,1001,947.030352
686.699738,1001,962.10773
23.254168,26,962.728019
886.88878,1001,977.854229
503.135411,1001,992.959844
754.806197,1001,1016.629906
16.973018,22,1017.185323
583.769438,1001,1032.523519
1059.346643,1001,1047.760153
919.289413,1001,1063.087323
948.580919,1001,1086.509984
1113.687592,1001,1102.29835
822.901542,1001,1117.610492
852.518427,1001,1132.714286
925.337917,1001,1155.979197
796.599795,1001,1171.195589
875.876615,1001,1186.514506
735.237465,1001,1201.733617
1038.403907,1001,1224.947503
866.852248,1001,1240.131081
866.274523,1001,1255.24164
1034.238372,1001,1270.183929
1023.049654,1001,1293.283857
785.382702,1001,1308.517628
1043.378756,1001,1323.693457
955.611499,1001,1338.963393
830.951256,1001,1362.29052
1129.152385,1001,1377.7034
1089.092191,1001,1393.174137
788.332993,1001,1408.546091
978.715045,1001,1431.78955
1003.840252,1001,1447.069742
752.985194,1001,1462.393189
1011.437777,1001,1477.550414
924.130325,1001,1501.441317
791.103617,1001,1516.708757
986.534763,1001,1531.906556
965.347542,1001,1547.165101
1068.355628,1001,1562.205307
766.643345,1001,1585.584578
932.860608,1001,1600.762201
1074.74634,1001,1616.010886
925.514358,1001,1631.235941
964.12029,1001,1654.680297
893.73216,1001,1669.817565
1023.705415,1001,1685.02168
1042.489448,1001,1700.26851
1035.612304,1001,1723.541324
914.15614,1001,1738.688536
1161.505853,1001,1753.865144
1016.33691,1001,1769.106715
954.099199,1001,1792.405865
964.190954,1001,1807.533541
1110.512889,1001,1822.736106
863.806335,1001,1839.694981
805.419696,1001,1863.752344
900.66568,1001,1878.907112
1040.795795,1001,1894.097096
1095.884672,1001,1909.378314
918.836518,1001,1933.000619
818.792081,1001,1948.067869
963.501727,1001,1963.35074
868.849084,1001,1978.485991
1111.71642,1001,2002.357269
1172.735344,1001,2017.519951
1085.784858,1001,2032.700682
877.800655,1001,2047.94767
886.335766,1001,2071.594846
1054.132917,1001,2086.722704
932.354359,1001,2101.943729
970.479616,1001,2117.074559
960.21983,1001,2140.550738
865.031305,1001,2155.616126
1021.333674,1001,2170.73172
1208.422428,1001,2185.939634
1226.96879,1001,2209.259691
965.123043,1001,2224.34953
1076.366156,1001,2239.46426
906.81496,1001,2254.537349
1132.482982,1001,2278.092521
874.15832,1001,2293.219808
976.200831,1001,2308.513774
936.289831,1001,2323.759824
846.061319,1001,2338.854173
851.626318,1001,2362.546434
916.458851,1001,2377.633992
904.244113,1001,2392.944396
874.307242,1001,2408.172914
937.205857,1001,2431.593909
1234.764534,1001,2446.754585
1007.434724,1001,2461.918473
1164.133319,1001,2476.992826
988.76014,1001,2500.582225
885.070551,1001,2515.774329
854.519417,1001,2530.887455
1008.319673,1001,2546.121308
1138.688389,1001,2569.487906
1093.880462,1001,2584.863477
952.515934,1001,2600.153525
1228.060614,1001,2615.291474
995.520714,1001,2639.003828
959.957742,1001,2654.365956
1092.936101,1001,2669.442153
1024.202277,1001,2684.54487
