#{"t_start": 1765838548.9207797, "env_id": "None"}
r,l,t
19.073471,20,2.792581
14.374298,19,3.673089
15.271783,20,5.052406
22.354919,24,7.218764
13.77658,18,8.789062
15.418011,20,10.128866
70.282274,84,15.840524
20.965077,22,17.450893
18.200502,21,19.118839
19.730669,25,21.652853
20.822189,24,23.820098
16.677609,21,25.401217
17.790897,21,27.219949
14.995437,19,28.753164
19.611599,20,30.2936
17.881307,18,31.28353
22.640029,22,32.868948
19.38929,22,34.717087
13.770282,19,36.48353
17.093071,21,38.259498
15.003812,19,40.034346
16.274769,19,42.073662
19.390477,19,43.615448
20.881415,21,45.434148
11.462452,18,47.194294
17.434882,20,48.987644
21.46535,21,50.810618
16.250336,18,52.559707
15.996768,20,54.360957
17.762722,19,56.163216
18.462915,20,57.679614
16.908732,23,59.224901
16.883928,21,60.791037
14.837233,19,62.085477
16.513027,19,63.677791
16.458165,20,65.267774
15.627944,21,67.358664
15.30226,20,69.154242
15.39723,18,70.675844
15.996124,20,72.199861
20.638897,25,73.770361
15.476332,18,75.025778
18.054519,20,76.316963
18.536683,18,77.57094
14.17424,18,78.840884
14.211255,20,80.373246
16.214139,19,81.450485
18.529475,21,82.769684
15.207409,20,83.792781
15.584733,20,84.832546
20.147243,21,85.611083
15.786415,21,86.647335
20.94285,26,87.717491
18.601385,23,88.786988
17.545458,20,90.082618
15.700541,20,91.430732
16.362554,21,92.780659
19.899611,21,94.583303
12.944308,20,96.125128
15.384576,19,97.665811
18.102801,21,99.512317
17.265089,19,100.77308
22.192817,22,102.604171
17.042351,21,104.221055
18.540367,21,106.309896
17.984819,20,108.120757
16.852966,19,109.384967
20.926625,22,111.221016
14.019624,18,112.473024
21.427784,22,113.805693
17.215217,20,114.913551
16.168283,18,116.449453
13.5381,18,117.70996
15.999456,20,118.766517
316.884901,724,175.240914
21.010042,23,177.366951
16.03918,19,179.45858
46.173852,64,184.189389
16.51654,19,185.768193
13.288843,19,187.606302
19.605019,19,189.417256
16.90949,21,191.258966
13.82818,17,192.558521
22.356571,23,194.970872
23.152574,23,196.877011
15.733918,20,198.51859
15.821429,18,200.344939
24.376977,24,202.524619
16.57972,21,204.141103
13.637968,21,205.961809
18.988814,23,207.580802
95.769533,126,218.825741
15.361673,18,220.119669
17.824056,23,221.994862
17.322163,19,223.5338
16.095015,19,225.109997
15.97018,19,226.674085
17.67063,20,228.502517
15.410435,19,230.308003
