#{"t_start": 1765838549.5520968, "env_id": "None"}
r,l,t
16.987241,20,2.161263
19.638526,24,3.931857
14.405928,19,5.016704
16.181176,18,6.307283
19.257767,19,7.89196
18.088791,21,9.494105
18.414749,19,10.849341
17.216517,19,12.409616
17.125274,19,13.751546
16.34724,18,14.80067
17.822974,22,16.425333
19.203682,18,17.740498
17.817585,20,19.494231
14.922774,19,21.312642
15.575897,19,22.622253
16.318112,21,24.449245
17.704492,21,26.27774
17.544072,25,28.433233
16.8498,21,29.95719
15.523979,19,31.25196
16.997489,19,32.5451
100.592813,168,47.497762
18.876117,21,49.324386
17.183695,20,51.346842
15.221341,20,53.160284
13.742209,19,54.685082
19.744822,23,56.513232
17.951442,22,58.024975
16.754443,20,59.585903
20.573657,21,61.129225
15.23524,19,62.751108
14.359245,20,64.34322
17.156111,21,66.164003
17.232834,21,68.239117
277.401184,397,92.486966
17.020959,21,94.282056
14.630628,20,96.092897
20.942044,22,97.934532
19.661576,23,99.524591
17.947963,20,101.078279
18.156092,22,102.657068
17.847723,18,104.216569
18.570056,19,106.026594
15.143986,19,107.824625
22.281776,24,109.42123
15.547663,21,110.971972
17.442113,22,112.526572
17.598322,19,113.614853
15.30378,20,115.206971
16.60867,19,116.48062
19.309357,22,117.810905
21.134914,21,119.386844
18.580996,21,120.661142
16.322082,18,122.196383
68.202036,74,126.212534
19.523743,22,127.294847
19.621014,22,128.062976
18.490182,21,129.377166
17.989202,19,130.39078
21.983706,21,132.213706
14.17099,18,133.998727
15.609609,19,135.575577
19.119575,22,137.411735
19.108144,21,139.02566
23.560371,24,140.890741
19.805821,20,142.454126
17.334876,20,143.993447
13.510497,20,145.543524
18.078864,20,147.132575
22.581574,23,149.281289
15.130323,22,151.137475
17.008389,20,153.217148
19.147861,22,155.047648
16.571158,20,156.642814
16.337002,19,158.74339
13.905901,20,160.887472
15.697411,19,162.946779
20.427052,22,164.776944
18.025328,20,166.591868
16.470884,20,168.410946
17.481374,21,169.980826
16.897141,19,171.537842
19.25441,20,173.095702
18.09129,21,175.160662
124.233817,137,186.107132
20.028857,19,187.945136
17.610694,21,190.034187
22.630434,23,192.47906
17.743133,20,194.076544
18.866143,20,195.673891
17.474584,19,197.545624
15.225988,19,199.407389
19.500987,19,201.253012
16.625535,20,202.846304
14.339336,19,204.144959
26.760604,27,206.329092
16.015007,20,208.138915
19.632485,21,209.963941
17.196598,19,211.50232
12.340497,18,213.31484
14.308938,18,215.113913
14.596486,21,216.929909
19.496323,20,218.518548
14.799151,19,220.060829
19.642389,23,221.926609
19.161842,21,223.495332
19.498693,20,224.813102
68.895875,76,231.561683
20.363885,21,233.386667
19.657271,22,235.235981
20.200452,24,237.642395
18.402053,23,239.046962
19.090001,21,240.404095
15.590507,20,242.240304
19.479805,19,244.088003
14.660137,20,245.713721
14.689839,18,247.275339
17.9444,19,248.876853
19.77799,22,250.495114
156.115903,204,267.83378
20.243204,22,269.462763
17.315175,19,271.285005
20.231279,22,272.935481
14.092045,19,274.51564
15.392056,19,276.099749
14.980019,19,277.135011
21.968591,21,278.198981
13.950659,18,279.494956
23.379296,23,281.118985
21.186404,25,282.798799
17.80035,20,284.433287
18.074203,22,286.096984
16.787621,18,287.406472
13.875289,20,288.968728
23.548576,24,290.634277
20.026744,21,292.49878
21.161812,24,294.143472
16.686834,20,295.998262
20.951985,22,297.607814
21.847798,22,299.225692
17.866445,20,300.816795
67.523793,81,307.144314
17.185668,18,309.003323
19.466444,22,310.874679
19.69008,23,312.819296
20.381907,21,314.732957
17.353917,21,316.646278
17.144077,19,318.750829
15.616395,25,321.233707
17.416798,21,323.38287
