#{"t_start": 1765624919.732241, "env_id": "None"}
r,l,t
1461.172637,1001,4.781621
822.133108,495,6.914708
1308.409357,1001,11.302857
71.209691,77,11.786176
1886.430185,1001,16.311649
773.823482,661,20.045064
374.320158,277,21.308624
1146.212999,1001,25.415668
952.617354,625,28.060916
183.625027,195,28.987465
1647.028275,1001,33.086446
63.192359,58,33.474871
76.691412,61,33.874918
1273.566779,1001,38.726131
79.134565,86,39.23323
50.724454,42,39.57419
427.565282,384,41.289817
114.796718,132,41.9787
50.44698,51,42.341182
1297.433165,894,46.030294
65.042145,71,46.471589
1308.299603,1001,50.627633
109.872663,98,51.192751
1497.550053,1001,55.304228
66.649905,71,55.745622
51.770791,43,56.814324
62.388327,59,57.20802
56.725595,59,57.603113
904.815863,833,61.067796
95.761159,85,61.570871
266.476808,270,62.851903
228.810086,215,63.855711
149.58208,102,64.434118
1773.260023,1001,68.597308
1454.995409,1001,72.813501
82.422172,92,73.336105
1565.266765,1001,78.216273
1381.432213,1001,82.951535
112.737653,136,83.647582
1536.939726,1001,87.748813
176.817294,184,88.633693
641.104534,798,91.948239
1309.938905,811,96.041974
2049.940433,1001,100.143771
1976.990705,1001,104.230832
208.360597,268,105.446059
1036.977505,1001,109.544127
1587.583872,1001,114.384096
1468.845912,1001,118.484656
1408.852046,1001,122.594397
506.506571,286,123.88443
1971.41554,1001,128.003874
300.628169,238,129.852622
186.225856,153,130.616501
1587.042581,1001,134.714803
82.028207,69,135.150465
118.420206,93,135.71905
784.647302,599,138.237397
1476.787691,1001,142.350872
52.018935,52,142.722108
1296.162745,904,146.438226
1793.608341,1001,151.276005
681.165183,464,153.274021
343.284452,345,154.795467
50.906196,48,155.146621
724.742422,423,156.978962
81.53467,65,157.398014
1253.221027,763,160.585009
890.326234,1001,164.694449
54.041127,51,165.056925
1585.628225,835,169.257505
887.095547,789,172.514822
66.650896,57,172.906176
67.880662,66,173.334141
1283.863825,1001,177.455883
408.066443,268,178.67528
79.877663,91,179.19642
1842.321533,1001,183.326068
733.883702,464,186.148717
64.111447,58,186.54882
113.892184,159,187.341589
92.395841,94,187.869298
1590.711371,1001,192.007985
320.691661,193,192.933305
1771.687141,1001,197.082667
1519.881529,947,201.071209
811.640191,676,204.859417
1175.497774,1001,209.081226
1160.035404,1001,213.311706
58.067007,53,213.6936
1739.643282,1001,217.909974
1667.627183,1001,223.028794
1411.855699,1001,227.280993
1612.899968,1001,231.542764
1929.711143,1001,235.789486
1658.750031,1001,240.930555
57.512675,50,241.300334
1438.803646,897,245.10654
66.55752,51,245.483611
1541.931862,1001,249.715658
64.793023,56,250.111983
52.885439,49,250.48211
843.1337,664,253.361152
1332.007857,1001,257.627682
1061.019908,1001,262.799795
71.997632,53,263.189442
231.424175,156,263.990271
56.974281,48,264.362481
1733.349673,1001,268.633372
67.679379,62,269.054588
115.404217,88,269.594876
70.778133,57,269.989866
386.249296,413,271.86904
513.069025,322,273.363766
519.962312,449,275.367704
1260.734903,670,279.164202
180.294405,154,279.962107
387.253066,262,281.204006
109.3801,80,281.697264
891.653778,1001,285.985526
1735.462698,1001,290.262458
1516.856728,1001,294.523145
1615.693073,1001,299.687099
55.394304,57,300.097854
104.926054,129,300.800436
1961.654038,1001,305.087662
59.090682,55,305.479424
50.947035,41,305.831369
1778.005635,1001,310.089391
1438.092301,1001,314.36938
928.078358,754,318.621475
2058.275329,1001,322.921602
1727.388932,1001,327.240599
1324.389796,1001,331.517452
1402.911625,900,336.647085
64.780287,63,337.078794
594.873748,381,338.843552
1423.510773,1001,343.225351
1863.158004,1001,347.600813
69.177385,59,348.025986
135.21068,115,348.686314
108.808572,94,349.24682
417.384477,390,351.06371
1430.089726,905,355.914013
225.800914,160,356.758012
376.557643,255,358.002243
447.963538,300,359.427463
75.138968,71,359.892268
87.535225,59,360.312756
92.91266,71,360.793379
1741.225765,1001,365.154219
688.844212,438,367.146195
1388.195435,1001,371.489639
1536.024479,1001,376.736725
62.769233,56,377.139752
866.276263,570,379.684708
1512.823484,1001,384.077354
45.453072,42,384.434786
408.896427,315,385.924605
765.17543,965,390.172249
75.236144,58,390.588044
131.857882,184,391.531575
1943.711041,1001,396.788509
178.485004,149,397.588296
1349.723354,780,401.018452
797.057747,1001,405.4682
1596.637437,1001,410.566683
77.921274,87,411.108956
2019.591189,1001,416.385312
606.393182,326,417.921506
63.855304,53,418.314531
1997.986169,1001,422.681897
1495.968147,1001,427.051667
1782.339521,1001,431.479822
644.643263,437,434.341575
1971.312279,1001,438.706135
119.630591,143,439.480767
1871.876393,1001,443.852757
1506.056246,1001,448.255691
1472.17167,1001,453.520464
881.23914,620,456.289083
1620.549924,975,460.532157
2035.396935,1001,464.901833
74.467635,49,465.276783
1322.635554,744,468.609312
1419.662551,1001,473.942139
1715.065403,1001,478.309959
1085.510563,733,481.545105
64.170461,54,481.944998
2029.4056,1001,486.301638
1457.640238,1001,491.564805
1866.908183,1001,495.916243
1498.428072,1001,500.279961
809.267814,586,502.896048
663.64249,467,505.023581
826.914486,521,507.375293
2180.779238,1001,512.667119
1766.768008,1001,517.023319
1654.611869,1001,521.383096
1243.600224,1001,525.751265
626.900748,732,529.891191
1184.116979,1001,534.255937
1958.900422,1001,538.606624
1700.653322,1001,542.967477
1283.904065,1001,548.233871
2120.378542,1001,552.609324
1146.417005,755,555.9439
1579.64922,1001,560.285719
675.104544,507,562.57315
1596.845914,781,566.914606
302.388953,247,568.12643
74.958502,75,568.613765
1274.352005,1001,572.993937
1892.58022,1001,577.417991
1591.515145,1001,581.788491
50.623521,53,582.181873
74.801621,72,582.649699
1486.936271,1001,587.910789
1187.049811,1001,592.275641
165.312184,143,593.045256
1392.099191,1001,597.412945
2002.040564,1001,601.787039
1637.484571,1001,607.059541
1453.007604,1001,611.741696
1086.02224,1001,616.314934
1387.406856,1001,620.916543
1766.598623,1001,626.158385
2007.181922,1001,630.610728
2011.543738,1001,634.978487
951.739396,583,637.668921
2098.272729,1001,643.253514
1356.32987,818,646.888238
1887.814641,1001,651.266956
1828.925006,1001,655.570473
1797.909951,1001,659.854315
1560.915486,1001,665.071079
1274.215969,1001,669.373874
2146.166487,1001,673.675156
