#{"t_start": 1766050006.916411, "env_id": "None"}
r,l,t
4.099452,539,3.25318
4.635989,596,6.07847
0.081542,65,6.617385
2.735729,356,8.647521
4.895226,608,11.460083
2.434273,461,13.603344
5.114323,593,16.380498
-0.005418,185,17.382891
9.630181,1001,23.087226
9.704463,1001,27.691265
9.70829,1001,32.753628
5.031982,609,35.527623
9.627284,1001,40.142672
2.075158,252,42.223185
3.689808,502,44.569959
10.036476,1001,49.192665
9.876662,1001,53.633708
2.511426,346,55.337824
9.954316,1001,59.901471
0.59467,230,61.816201
1.800784,261,63.080925
-0.059827,132,63.794954
2.803918,339,65.394347
2.555718,335,66.979254
0.908016,253,68.369849
2.363044,328,69.987011
10.112608,1001,74.900611
3.074103,392,77.471146
3.550246,433,79.872672
5.087016,663,84.066371
0.162821,75,84.61978
9.867191,1001,89.004262
2.786087,364,90.717642
9.577637,1001,95.545444
3.812592,591,98.715591
7.013684,904,103.460383
0.430182,231,106.005282
0.094507,88,106.589937
1.177253,334,108.32125
2.322775,283,109.806941
2.510709,310,111.466832
10.141178,1001,116.480743
9.241769,1001,121.538431
9.845774,1001,127.288477
10.02686,1001,131.908913
4.952304,648,134.935025
4.794786,592,137.744216
7.709562,1001,142.332646
10.232608,1001,147.888539
10.62077,1001,152.246654
10.162186,1001,156.700775
10.661951,1001,161.038153
9.897242,1001,166.551524
9.591797,1001,170.88829
9.706379,1001,175.506093
10.4533,1001,180.059261
10.65358,1001,185.75451
9.950455,1001,190.354619
10.910852,1001,194.911837
2.244031,261,196.25115
10.502931,1001,200.609738
0.366189,261,201.859838
9.235377,1001,207.199059
0.511045,182,208.130656
11.021067,1001,212.481175
10.54388,1001,216.828599
2.155604,271,218.125666
2.943198,487,220.321528
9.400991,1001,225.696043
11.056413,1001,230.215634
10.533813,1001,234.785525
1.955669,209,235.887247
10.988914,1001,240.33041
10.911387,1001,245.935099
10.816422,1001,250.71438
10.799533,1001,255.045862
10.989508,1001,259.365017
10.44385,1001,264.718199
11.050775,1001,269.021815
9.66944,1001,273.310182
1.986474,231,274.447451
-0.508005,191,275.4028
1.488595,378,277.129535
10.151928,1001,282.413269
10.432563,1001,286.699395
10.962057,1001,291.000851
1.783377,244,292.177007
3.054754,424,294.099971
10.68429,1001,298.386338
10.526504,1001,303.728672
10.263833,1001,308.030176
9.635861,1001,312.31532
2.009331,220,313.386494
9.978845,1001,317.68045
10.3554,1001,323.00476
2.667199,322,324.499282
10.832273,1001,328.79391
10.521385,1001,333.094451
11.041842,1001,337.397586
10.137048,1001,342.666096
10.696023,1001,346.952919
10.726573,1001,351.254695
10.777174,1001,355.555005
10.449809,1001,360.821773
10.177206,1001,365.159265
10.576492,1001,369.482091
10.69626,1001,373.787763
1.936504,226,375.897756
0.098205,93,376.45284
10.596377,1001,380.748854
11.297062,1001,385.077449
10.98904,1001,389.381607
10.843256,1001,394.647154
2.0213,274,395.947842
11.211565,1001,400.25642
2.364091,272,401.540663
10.687812,1001,405.846894
9.652226,1001,410.150359
10.928832,1001,415.417217
11.161394,1001,419.7049
11.207709,1001,424.000075
10.833329,1001,428.288219
11.162837,1001,433.572627
10.759319,1001,437.876549
10.898863,1001,442.172888
10.782482,1001,446.462944
11.30194,1001,451.693731
2.233417,250,452.882733
1.788562,335,454.432223
11.063328,1001,458.744544
10.38653,1001,463.427773
10.92489,1001,467.720901
10.729513,1001,473.054854
2.154267,260,474.294382
11.011726,1001,478.591167
10.890356,1001,482.879379
11.117427,1001,487.163126
11.179685,1001,492.527249
10.530213,1001,496.861379
11.664433,1001,501.160748
10.884304,1001,505.455172
2.09616,263,507.75253
11.061749,1001,512.035312
10.695495,1001,516.324624
10.761873,1001,520.612456
11.179681,1001,525.882996
11.072578,1001,530.164995
10.523262,1001,534.49309
11.10566,1001,538.793973
11.529724,1001,543.087479
11.164407,1001,548.362871
11.354578,1001,552.658444
10.845465,1001,556.951797
10.954574,1001,561.241831
11.552405,1001,566.500673
11.316293,1001,570.796037
11.485174,1001,575.080474
11.20304,1001,579.373607
11.495218,1001,585.11494
11.013416,1001,591.141682
11.511099,1001,595.457761
11.200111,1001,599.754776
11.222064,1001,605.025976
11.15727,1001,609.322672
11.276965,1001,613.620964
11.151746,1001,617.906815
11.530897,1001,623.163516
11.495292,1001,627.48049
11.365668,1001,631.782527
2.183007,252,632.99084
11.258713,1001,637.287399
11.656844,1001,642.534798
3.291354,468,644.638999
11.154093,1001,648.945034
2.531438,310,650.383229
11.417128,1001,654.684649
11.143191,1001,659.967294
11.623518,1001,664.245932
11.591949,1001,668.543074
11.626345,1001,672.828344
2.943525,347,674.4289
11.260346,1001,679.719377
10.96805,1001,684.026421
11.393954,1001,688.336574
11.470182,1001,692.628365
11.567541,1001,697.86523
10.952645,1001,702.174334
10.185755,1001,706.479782
10.976427,1001,710.775014
11.346928,1001,716.086155
11.257149,1001,720.387276
