#{"t_start": 1765661055.600897, "env_id": "None"}
r,l,t
761.484091,930,4.954969
19.691288,49,5.334298
983.04902,1001,9.500421
27.069962,51,9.867658
954.716678,1001,14.065265
21.953221,52,14.442096
53.446555,91,14.979267
545.972619,1001,19.991071
25.158954,45,20.350268
25.401572,62,20.773111
688.418262,1001,24.938199
201.754356,235,26.054692
847.911679,1001,30.258225
274.983826,808,33.980602
907.823789,1001,38.952072
364.532154,613,41.604295
440.204683,501,43.793506
22.344904,54,44.175418
30.225166,46,44.529735
780.140501,1001,48.777882
219.735387,465,50.850337
546.590941,1001,55.793252
741.601343,1001,61.708353
942.10014,1001,66.542343
785.447242,1001,71.191881
32.050783,62,71.62998
39.758274,73,72.127218
815.736627,1001,76.404572
189.317555,227,77.563883
952.586777,1001,82.564124
23.80272,46,82.915264
888.603276,940,86.845792
1073.646152,1001,91.025557
664.196163,1001,95.2129
23.260899,45,95.560081
354.366072,397,98.053177
589.632402,654,100.839016
47.101612,88,101.355202
31.67579,55,101.746072
217.424414,249,102.919806
660.637104,982,107.01035
168.720414,281,108.305608
476.873781,703,111.289853
854.034553,1001,116.528045
403.089959,691,120.005964
18.673244,48,120.419237
860.411404,927,124.544872
387.359571,548,127.473425
260.537195,542,130.091658
30.029729,56,130.514607
119.717361,211,131.583045
1019.905278,1001,136.860347
105.104721,157,137.675814
964.914389,1001,141.967034
98.077184,134,142.680781
1055.526517,1001,147.149896
233.019611,304,148.650381
851.157743,1001,153.158651
909.618542,1001,158.299897
668.043689,1001,162.483843
695.083678,717,165.518494
51.117229,87,166.031516
648.303831,682,168.926153
949.671684,1001,173.908661
21.721636,47,174.260611
321.356869,355,175.84922
34.696134,57,176.240893
24.560385,58,176.649972
37.229009,58,177.062437
173.571404,338,178.58161
28.342534,43,178.917827
453.920038,1001,183.098962
523.01734,733,186.190271
143.942689,246,187.344083
712.427067,1001,191.542127
341.036295,447,194.269833
26.852901,55,194.655547
26.23293,61,195.064525
985.617769,1001,199.235321
683.004854,747,202.400127
773.766112,1001,206.569881
39.753063,77,207.047029
555.030575,773,210.815826
667.862976,1001,216.422746
592.413038,776,219.769993
114.740399,169,220.629319
297.003343,307,222.072532
27.785786,54,222.452218
1069.054519,1001,226.654696
647.362508,1001,231.67566
773.679215,761,234.969032
169.569507,198,235.945722
36.559725,94,236.50103
965.764727,1001,240.986149
