#{"t_start": 1765290255.968051, "env_id": "None"}
r,l,t
0.0,136,1.760924
0.0,152,2.151994
0.0,98,2.473533
0.0,471,3.372338
0.0,392,4.12916
0.034512,216,4.605252
0.000979,484,5.502912
0.0,185,5.958711
0.007637,1001,7.612772
0.00565,141,7.996674
0.0,583,9.024477
0.00359,447,10.669144
0.0,874,12.126555
0.004371,164,12.530811
0.0,62,12.782419
0.0,386,13.532545
0.002946,251,14.067901
0.005937,343,14.739043
0.00061,511,15.661077
0.0,733,16.937111
0.0,920,19.248698
0.002363,211,19.735597
0.00503,230,20.239445
0.0,422,21.034194
0.0,120,21.38708
0.0,224,21.898102
0.0,564,22.895854
0.0,549,23.902201
0.020885,800,25.290453
0.020032,1001,27.877814
0.0,119,28.228729
0.003646,56,28.472184
0.01069,79,28.762683
0.007123,758,30.060868
0.008721,1001,31.708908
0.002816,1001,33.349711
0.025203,371,34.08154
0.0,150,34.477874
0.0,323,35.899059
0.0,310,36.513461
0.00183,1001,38.151154
0.0,455,38.984776
0.0,189,39.436645
0.0,221,39.926495
0.009079,456,40.766717
0.008332,393,41.502582
0.017401,456,42.350028
0.0,687,44.300113
0.022866,883,45.80934
0.008869,199,46.278332
0.0,129,46.640974
0.000244,353,47.335097
0.011584,282,47.926591
0.001544,1001,49.614198
0.000293,124,49.964053
0.000223,1001,52.497878
0.0,122,52.842814
0.0,1001,54.507395
0.00062,790,55.894561
0.0,1001,57.580877
0.00304,777,58.925531
0.000105,580,60.741162
0.0,854,62.200528
0.001776,137,62.568077
0.000304,710,63.802923
0.0,115,64.130184
0.007165,1001,65.790045
0.0,392,66.569934
0.026016,765,68.637548
0.0,343,69.302276
0.0,99,69.621734
0.000429,544,70.599533
0.0,825,71.998707
0.0,772,73.322523
0.002926,783,74.646617
0.001932,469,75.508468
0.0,400,77.080987
0.027645,432,77.941716
0.01034,81,78.226752
0.014214,294,78.842433
0.0,320,79.493939
0.002597,520,80.448565
0.0,590,81.523757
0.0,90,81.83228
0.0,103,82.160508
0.013988,526,83.111428
0.0,653,84.265642
0.026744,858,86.591059
0.003572,460,87.446007
0.002337,353,88.166999
0.0,482,89.059696
0.0,273,89.629333
0.002822,417,90.417187
0.014899,211,90.889218
0.006845,611,91.959089
0.003853,563,92.98558
0.0,603,94.892424
0.0,154,95.30991
0.000661,257,95.869728
0.011081,519,96.819674
0.008298,1001,98.496884
0.0,630,99.613723
0.0,148,100.01066
0.008509,305,100.649282
0.0,30,100.862624
0.0,553,102.65966
0.005845,306,103.280939
0.000312,351,103.965313
0.006323,972,105.586588
0.002439,508,106.514527
0.00371,594,107.556135
0.000752,96,107.875537
0.001856,359,108.581269
0.005896,212,109.079238
0.0,803,111.261595
0.000655,170,111.699546
0.0,334,112.385253
0.000616,162,112.801381
0.0,386,113.553369
0.000872,331,114.214382
0.002271,807,115.611842
0.0,254,116.15437
0.003682,325,116.813046
8.3e-05,1001,118.477258
0.007421,362,119.978466
0.0,114,120.31311
0.08371,390,121.054062
0.0,377,121.785327
0.017892,1001,123.453181
0.005138,58,123.714788
0.000754,510,124.658827
0.0,236,125.195997
0.0,19,125.405604
0.0,1001,127.111837
0.004724,373,128.640017
0.001745,324,129.297072
0.0,287,129.898467
0.000286,98,130.210726
0.0,431,131.027989
0.0,376,131.762472
0.096661,1001,133.443836
0.0,540,134.406419
0.0,342,135.091039
0.004809,372,135.811393
0.0,302,137.234802
0.004118,248,137.78377
0.000788,660,139.020504
0.000254,900,140.72879
0.0,577,141.886714
0.002807,712,143.249507
0.002006,246,143.800961
0.0,556,144.807471
0.033587,963,147.222786
0.0,722,148.466405
0.000514,859,149.935661
0.0,287,150.546224
