#{"t_start": 1765830769.419782, "env_id": "None"}
r,l,t
320.075369,178,1.532624
134.977593,84,2.041366
70.440724,49,2.410316
178.635683,143,3.146812
371.293435,264,4.371514
112.184515,85,4.887276
571.565632,377,6.621849
335.957591,184,7.534768
413.303846,335,9.046992
428.333347,233,10.142294
72.980723,54,10.532129
397.95674,239,11.87354
350.845625,258,13.126806
160.57048,96,13.688315
339.576392,171,14.538726
366.933783,222,15.619206
331.157673,166,16.495134
287.757947,146,17.279237
396.695558,228,18.38754
356.326241,185,19.329719
226.656485,142,20.095152
370.353309,199,21.141157
93.818313,65,22.420311
122.224325,80,23.109478
338.581054,167,24.038923
369.933243,197,25.120176
365.559695,198,26.067962
172.854219,117,26.697757
304.01251,161,27.496778
321.511277,193,28.435841
173.811257,112,29.053242
491.481969,356,30.628215
94.095379,63,31.051797
106.164801,71,31.521172
381.818569,218,32.647218
325.756206,184,33.676369
310.894371,185,34.669423
285.682904,206,35.708511
500.069394,358,37.296807
345.90408,178,38.18298
425.444231,224,39.252182
305.49076,160,40.056791
344.837466,186,40.967065
53.417662,38,41.28759
355.242666,199,42.24697
347.507722,179,43.125458
302.629415,140,44.601518
364.412307,188,45.512662
151.483728,88,46.031049
339.41119,193,46.961791
124.710505,85,47.471688
56.630244,52,47.842168
100.680059,65,48.263275
373.490395,273,49.510581
345.912726,171,50.348205
365.464688,191,51.267547
187.91442,159,52.068883
282.417255,147,52.826198
76.344323,52,53.210462
95.120923,68,53.644696
333.016186,168,54.484982
60.212907,45,54.829411
87.027926,58,55.234449
338.365162,189,56.150084
395.228417,217,57.175659
124.209973,83,57.673167
394.481077,235,58.768619
103.621442,71,59.217692
219.197343,215,60.23649
119.0,77,60.715345
341.710479,175,61.573471
322.411918,176,62.439878
71.282359,57,62.830174
61.198965,41,63.17128
86.478794,57,63.563162
85.549634,47,63.946283
75.251782,55,64.366491
145.484589,114,65.006451
305.538507,167,65.840048
339.763689,223,67.622363
338.236161,173,68.485124
190.207124,141,69.22066
233.986569,139,69.933589
65.886103,55,70.328298
292.780658,144,71.070708
240.284842,237,72.188178
340.0813,189,73.119994
431.660383,236,74.243411
355.917951,188,75.161803
90.092417,62,75.581272
331.578255,194,76.5317
78.658563,54,76.918321
212.194983,184,77.820478
315.782298,256,79.010422
139.88288,112,79.62583
424.961645,295,80.97827
146.072979,105,81.570401
126.027582,84,82.115866
379.780837,258,83.378576
337.597634,217,84.447946
276.049728,185,85.367351
200.901349,187,86.28566
406.97546,269,88.285452
59.904924,45,88.640186
464.486157,265,89.867799
328.848551,176,90.749698
320.975217,179,91.652232
325.109498,166,92.542893
74.088181,52,92.926396
66.877668,48,93.299684
75.568555,54,93.686476
93.819341,73,94.161809
82.711102,57,94.570733
204.036956,174,95.451041
325.247194,252,96.630145
175.53391,175,97.497599
321.810864,152,98.284528
74.552568,52,98.666612
350.849199,185,99.583917
348.785885,235,100.703178
328.852472,162,101.529759
59.603475,42,101.869635
364.340046,184,102.782352
353.073949,272,104.041356
334.700919,179,104.935811
346.190831,183,105.836707
331.53529,183,106.740334
316.32865,159,107.548597
411.466267,225,108.621995
82.825871,55,109.010804
259.270594,148,110.5132
392.324744,230,111.622358
87.750492,78,112.102554
79.982315,61,112.523414
117.192546,91,113.0574
321.828346,168,113.904785
175.789753,106,114.504662
88.14895,69,114.960235
311.251357,175,115.841701
108.824092,75,116.320404
145.933894,148,117.09028
393.497472,233,118.200927
116.133187,78,118.688311
349.088491,186,119.608638
95.625096,62,120.027758
366.504635,247,121.199862
466.989046,364,122.813832
131.672435,98,123.382185
288.324128,150,124.165058
112.666003,75,124.647384
364.327092,185,125.558814
374.545486,209,126.584151
356.357606,185,127.498027
227.651749,174,128.41109
349.481225,199,129.383851
427.304459,243,130.536641
367.041893,177,132.166131
299.29082,151,132.94295
131.631214,108,133.55412
301.231349,164,134.387609
347.830624,222,135.459481
122.156809,75,135.929958
166.567637,121,136.583024
279.745789,236,137.700144
98.223891,77,138.190232
315.451115,158,139.006869
466.106788,270,140.267352
370.198874,207,141.285927
147.111965,99,141.862053
337.29512,199,142.878815
359.910547,183,143.821335
325.010507,155,144.626353
124.055259,83,145.141814
348.65793,199,146.12093
307.225628,141,146.85964
108.726431,74,147.332275
317.334459,161,148.150834
310.593244,190,149.091389
379.680812,210,150.117361
303.267827,162,150.938707
341.29624,259,152.157854
431.964079,311,154.366537
320.965681,162,155.2018
80.536588,52,155.590135
376.779957,206,156.596156
336.043183,192,157.549354
176.504505,122,158.213778
124.485194,82,158.720667
331.338776,252,159.900818
309.525537,157,160.733537
347.070529,179,161.630758
219.676291,143,162.382468
238.995334,242,163.527711
189.373981,125,164.199854
69.239537,49,164.565918
373.910333,209,165.587321
194.442423,146,166.3538
303.216589,170,167.206954
158.614873,115,167.837641
328.001244,188,168.773871
104.182128,67,169.214386
335.120545,193,170.171918
85.542265,53,170.556776
435.247238,265,171.798229
354.711061,175,172.672698
88.243038,63,173.098366
68.359035,48,173.47008
148.814078,103,174.058996
334.127928,227,175.900139
270.548211,134,176.617202
69.274055,48,176.989786
353.209356,188,177.920756
349.128959,181,178.817288
213.136816,296,180.192444
377.288957,190,181.136855
373.212384,191,182.081821
355.582386,187,183.012088
334.380412,162,183.835955
117.963528,80,184.326035
323.801484,155,185.135145
402.591281,342,186.676006
68.938103,48,187.04819
318.201109,165,187.88581
521.253841,308,189.298059
356.372939,194,190.251496
115.74944,90,190.789677
68.116379,50,191.161822
359.803446,239,192.330188
92.838214,66,192.787056
103.947672,67,193.226138
350.089991,174,194.106974
336.359464,157,194.910441
60.798925,39,195.236634
112.753741,90,195.778623
105.297082,52,196.159715
76.582343,53,196.554537
409.518705,315,198.76055
412.052477,253,199.961717
215.128714,129,200.647093
387.906324,217,201.702771
392.313459,268,202.955333
76.785432,52,203.34892
154.513181,156,204.177342
184.578713,162,205.019379
414.77093,227,206.119891
369.179948,207,207.148502
336.962949,160,207.9646
297.706947,178,208.861931
299.667206,144,209.614456
71.153919,56,210.008796
350.371662,179,210.90813
362.04681,184,211.819853
299.181711,142,212.568102
91.279867,66,213.005588
56.898416,40,213.355318
338.93284,215,214.422176
356.348808,182,215.328323
364.803868,175,216.211094
147.721662,168,217.063722
336.646074,210,218.078494
99.9185,74,218.549535
59.387757,42,219.644838
401.39462,214,220.67961
180.488194,167,221.520034
362.706572,189,222.460282
388.008055,216,223.514559
356.21791,169,224.362148
396.157539,224,225.436654
423.582847,283,226.763984
61.844856,42,227.107995
106.774542,72,227.565252
