#{"t_start": 1765466454.942132, "env_id": "None"}
r,l,t
0.0,57,1.037081
0.0,91,1.569942
0.0,224,2.643579
0.0,323,4.099021
0.0,68,4.543957
0.0,82,5.053019
0.0,74,5.516945
0.0,166,6.349304
0.0,175,7.259528
0.0,100,7.841094
0.0,197,8.798676
0.0,137,9.51083
0.0,218,10.601223
0.0,422,12.504694
0.0,365,14.139606
0.0,224,15.205128
0.0,151,15.99388
0.0,323,17.469207
0.0,83,17.973334
0.0,543,20.40314
0.0,149,22.138126
0.0,462,24.520374
0.0,89,25.113114
0.0,97,25.685003
0.0,546,28.153596
0.0,92,28.732432
0.0,107,29.356107
0.0,128,30.033624
0.0,618,32.712243
0.0,528,34.981654
0.0,1001,39.493722
0.0,423,42.483253
0.0,119,43.14231
0.0,721,46.211728
0.0,67,46.656145
0.0,81,47.158421
0.0,81,47.65064
0.0,67,48.086785
0.0,124,48.756729
0.0,68,49.198361
0.0,314,50.620981
0.0,661,53.434667
0.0,231,54.517568
0.0,132,55.216427
0.0,184,56.119338
0.0,484,58.226332
0.0,86,58.738472
0.0,96,59.288991
0.0,354,60.878558
0.0,182,62.638666
0.0,107,63.233019
0.0,87,63.748678
0.0,92,64.286457
0.0,73,64.748069
0.0,340,66.283787
0.0,885,69.996615
0.0,132,70.690908
0.0,86,71.200866
0.0,125,71.872906
0.0,268,73.113631
0.0,167,73.944734
0.0,217,74.986455
0.0,388,76.6901
0.0,966,80.730082
0.0,309,83.122782
0.0,168,83.961397
0.0,179,84.844609
0.0,91,85.376205
0.0,112,85.997492
0.0,177,86.878388
0.0,454,88.845593
0.0,339,90.366807
0.0,86,90.87598
0.0,284,92.178125
0.0,461,94.194287
0.0,65,94.620873
0.0,89,95.150104
0.0,150,95.917751
0.0,238,97.029247
0.0,453,99.003344
0.0,336,100.516949
0.0,229,101.602032
0.0,859,106.095583
0.0,80,106.582666
0.0,612,109.191521
0.0,98,109.752913
0.0,476,111.828981
0.0,182,112.725575
0.0,88,113.246913
0.0,73,113.702919
0.0,384,115.407371
0.0,137,116.11813
0.0,122,116.788704
0.0,650,119.554106
0.0,945,124.375709
0.0,130,125.06335
0.0,90,125.589981
0.0,230,126.678867
0.0,260,127.888538
0.0,665,130.752663
0.0,283,132.13372
0.0,96,132.844574
0.0,138,133.74813
0.0,132,134.551173
0.0,82,135.072354
0.0,72,135.5409
0.0,160,136.357541
0.0,499,138.554683
0.0,232,139.686881
0.0,499,142.88435
