#{"t_start": 1765756929.081814, "env_id": "None"}
r,l,t
625.714416,325,2.13789
249.715647,191,3.091514
509.564498,234,4.216219
515.865918,239,5.360089
560.127713,263,6.594843
515.089695,279,7.875194
703.713525,365,9.764076
1887.340227,1001,13.983255
813.026137,423,15.841821
207.528411,190,16.767038
508.094919,245,17.910225
661.695686,348,20.26417
1215.349227,718,23.332395
1912.007096,1001,27.516193
464.448252,233,28.622642
522.30073,262,29.852794
527.635887,275,31.122305
482.888345,234,32.224603
127.332662,110,32.828752
1885.028774,1001,37.011049
1823.202477,1001,41.925719
676.588252,363,43.548595
1137.755427,647,46.300301
706.285128,372,47.951131
920.598034,511,50.165404
839.568653,474,52.232434
180.95942,144,52.970804
1882.812297,1001,57.903042
1198.40507,678,60.797854
94.078384,68,61.239357
1903.024834,1001,65.405225
1908.558588,1001,69.581876
735.524615,485,71.680469
1858.217373,1001,76.626616
577.913312,290,77.97676
61.378409,52,78.37038
1910.449855,1001,82.607038
445.630059,230,83.722478
513.752482,241,84.873439
178.845409,124,85.538565
907.941163,495,87.714861
1084.220477,611,90.35415
1070.464143,599,92.958967
636.414008,325,95.187996
529.636226,262,96.415501
1863.845526,1001,100.636299
1868.029317,1001,104.87
1894.263959,1001,109.124864
648.186136,318,110.585512
1878.077344,1001,115.594037
561.197613,301,116.993072
1147.069394,648,119.821198
637.525111,335,121.376553
1867.302454,1001,125.667915
626.932248,319,127.1361
725.997874,359,128.761267
472.213534,360,130.379205
970.324469,524,133.448619
140.866366,126,134.128133
1226.10569,742,137.324274
1906.081974,1001,141.62681
1838.637062,1001,145.896662
513.250342,260,147.134877
1892.976094,1001,152.267037
1871.988812,1001,156.520024
1877.374559,1001,160.772723
695.955001,369,162.44317
559.273797,446,164.428444
1822.548794,1001,169.430157
749.863717,417,171.309058
604.7379,304,172.718329
883.378244,472,174.811093
1848.031383,1001,179.067203
944.235921,534,181.41767
690.726156,363,183.066073
801.335916,421,184.945612
636.984794,352,186.551995
1877.891772,1001,191.557134
1874.826429,1001,195.812778
887.321023,489,197.984467
532.6498,282,199.296791
717.251167,368,200.966876
1118.319678,635,203.733575
756.031424,489,206.641752
82.032294,63,207.067683
682.018876,352,208.681037
1872.47246,1001,212.967216
1877.699327,1001,217.211635
720.000342,387,218.951277
72.210952,67,219.391539
1059.689128,604,222.015114
170.794674,152,222.797705
230.994057,167,223.640608
242.344967,216,225.486639
124.857923,109,226.13382
640.943159,379,227.976152
1085.253442,602,230.846699
131.173706,101,231.479469
1349.535752,758,234.755084
1044.508533,604,237.405651
593.137669,347,238.993586
773.469488,424,240.902429
919.481689,551,243.324909
1240.848208,766,247.414307
548.802111,271,248.699101
261.718239,208,249.710334
767.165615,421,251.677942
634.257197,327,253.391727
800.65985,439,255.378849
1860.099171,1001,259.655127
514.784689,265,260.910491
696.769148,344,262.49126
489.90209,232,263.607993
958.86311,578,266.913623
536.003998,253,268.117716
473.600769,229,269.226194
1886.095625,1001,273.575235
879.288544,465,275.655961
1880.423184,1001,279.950484
537.922868,261,281.191676
98.345752,77,281.675244
581.385036,290,283.794159
884.809961,483,285.953082
677.566642,377,287.670843
1864.473411,1001,291.94377
706.237258,378,293.661227
403.108194,339,295.211445
944.167825,533,297.561404
140.275089,121,298.221964
1835.076934,1001,303.257712
549.188104,268,304.529814
