#{"t_start": 1765578653.485983, "env_id": "None"}
r,l,t
10.47571,51,0.978139
327.346993,613,3.585345
184.805298,427,5.437372
10.851041,49,5.794764
610.438571,1001,9.931314
575.920165,1001,14.110009
22.81994,68,14.543453
83.773288,188,15.4525
343.613075,849,19.784424
51.032058,145,20.55127
8.930775,47,20.915601
360.040693,670,23.752395
595.412341,1001,27.931324
10.898405,51,28.300015
12.540458,52,28.677889
489.904241,991,32.797417
638.899422,1001,37.708841
27.009929,92,38.243442
470.239069,1001,42.431034
462.211667,1001,46.671348
9.882671,51,47.048872
645.96399,1001,52.180521
26.929958,86,52.72075
27.794525,94,53.274022
13.828625,60,53.693505
137.483227,431,55.768447
675.128601,1001,60.735312
465.209927,1001,65.271889
29.694135,89,65.863886
549.582711,1001,70.283956
8.406451,39,70.618772
13.534547,53,71.003136
12.826104,60,71.415879
11.083547,49,71.781582
615.417668,1001,75.961329
563.028733,1001,80.913704
498.127495,1001,85.11233
429.617952,771,88.404303
22.656864,68,88.84555
210.787188,357,90.504508
342.767984,583,93.182645
602.834247,1001,98.135197
211.905205,449,100.106143
489.990584,1001,104.290814
599.926236,1001,108.52644
35.756774,134,109.23602
14.548328,60,109.645334
569.507925,1001,114.57961
10.595201,50,114.947621
490.831477,779,118.259895
9.240109,47,118.616844
405.504603,756,121.933312
7.65166,39,122.433754
12.797811,55,122.825409
69.234874,190,123.777257
17.398446,59,124.191765
12.332312,54,124.5742
9.265042,48,124.93011
523.021076,1001,129.135582
539.504287,1001,134.090984
12.218555,55,134.474508
10.933614,57,134.868274
14.662184,62,135.283277
422.918098,761,138.48263
655.986005,1001,142.722542
80.285537,171,143.571266
506.413868,1001,147.737029
546.26804,1001,152.651192
612.107302,1001,156.91407
103.344298,270,158.238422
535.071527,1001,162.503818
476.261701,818,165.934351
482.193401,1001,170.988236
7.748779,38,171.307476
10.50095,47,171.663857
59.168319,143,172.402246
29.214891,87,172.915275
74.011054,215,174.048071
8.403537,41,174.42251
566.86124,1001,178.947357
15.50929,57,179.355421
31.340549,100,179.945185
569.510331,1001,184.358869
148.844035,295,185.775102
610.146148,1001,191.115093
33.871581,99,191.726427
436.506106,1001,196.141888
597.818016,1001,200.522839
611.78664,1001,204.898789
10.945492,54,205.3202
565.492107,1001,210.567554
230.416245,472,212.735268
19.565337,64,213.186146
219.171644,505,215.489964
621.164715,1001,219.881208
303.753955,1001,224.276454
11.692843,56,224.699118
10.140527,45,225.083892
450.250719,1001,230.334006
25.851674,82,230.901799
