#{"t_start": 1765931094.026413, "env_id": "None"}
r,l,t
2.506045,294,1.985552
0.186689,155,2.780347
2.297477,321,4.309601
1.988911,395,6.09519
0.315268,97,6.653443
2.709487,314,8.093746
3.198858,474,10.188355
2.558585,343,11.752652
-0.085846,37,12.068153
12.255151,1001,16.531871
2.887681,353,18.241149
2.299658,259,19.585753
3.282119,440,22.47095
0.172029,58,22.888306
2.429896,303,24.434579
2.531263,324,26.085832
4.192956,615,29.024872
2.520438,290,30.38712
11.466123,1001,34.723781
2.404821,286,36.712833
2.745632,330,38.372319
2.652833,313,39.861041
2.603523,355,42.329412
0.221607,65,42.775658
2.360113,271,44.072618
2.327586,310,45.564126
0.159622,62,45.98512
2.476768,348,47.599418
0.242853,73,48.069229
0.131389,175,48.966491
2.409559,297,50.36563
2.718239,470,52.477483
5.234276,634,55.289399
4.572523,622,58.034631
2.346285,308,59.480125
-0.090229,215,60.534886
0.185545,148,62.074668
1.419207,376,63.808659
2.383547,284,65.151185
3.168823,540,67.563901
2.180377,297,68.969285
3.329782,465,71.067489
3.150478,401,72.894646
2.580176,364,74.578101
3.727477,544,77.003707
4.377589,633,79.804862
2.1295,239,81.743498
2.766962,326,83.262574
5.410442,685,86.281319
3.254971,449,88.322239
0.687502,138,89.05619
3.197543,425,90.988151
2.637499,334,92.552278
0.270848,150,93.338915
2.640581,369,95.053904
2.438585,285,96.406518
2.520176,293,97.78412
2.948717,388,99.569675
5.84354,869,104.108143
2.684443,333,105.658146
3.418796,465,107.769996
1.885231,296,109.185115
2.256966,282,110.522825
3.034534,487,112.699371
4.319011,603,115.371779
0.180343,132,116.082574
0.760721,225,117.181175
-0.081412,41,117.517529
0.574961,135,118.24298
0.234658,59,118.653347
0.076486,46,119.00857
6.266506,881,123.966955
6.117041,870,127.836193
2.658202,267,129.116193
2.381783,299,130.525396
2.42079,294,131.909521
0.170697,58,132.314745
3.417034,530,134.702658
3.559722,455,136.762835
0.457332,202,137.771246
2.348801,266,139.05541
0.218072,138,139.79376
2.686428,346,142.168608
0.094492,46,142.525286
0.128097,56,142.924391
2.989287,373,144.639191
3.436964,482,146.818608
4.92085,657,149.743254
5.60092,761,153.071958
4.81284,802,156.574363
0.224349,107,157.182303
-0.016262,74,157.653194
0.310059,67,158.0955
3.066635,413,159.972881
5.936808,788,164.212912
4.057443,552,166.674452
0.287696,87,167.210576
4.749512,597,169.860126
0.124096,53,170.244535
4.530066,581,172.827406
2.723365,353,174.455208
0.275318,82,174.960315
9.155907,1001,179.294917
0.303511,89,180.650503
3.556173,456,182.709907
5.554953,861,186.470663
9.266792,1001,190.808793
3.655389,452,192.850067
-0.105357,42,193.189321
7.482713,1001,197.507628
3.843412,534,200.674175
3.426559,477,202.818108
4.601474,610,205.514304
2.829447,323,207.038702
3.793072,478,209.208054
5.866639,711,212.32939
0.173173,166,213.179459
9.094884,1001,217.509452
5.25473,674,221.273239
5.476654,721,224.450239
4.244757,561,226.964502
6.323321,834,230.598784
2.705821,432,232.565799
-8.2e-05,55,232.958885
2.847916,367,234.652051
3.43273,440,236.659315
0.225375,62,237.894758
4.309383,619,240.644071
3.514916,495,242.864939
8.416955,1001,247.180894
2.124529,315,248.647869
2.557405,323,250.159514
0.16629,125,250.839423
2.851843,446,252.856043
2.584184,354,254.500288
4.35267,536,257.665776
2.464104,348,259.27435
0.017301,44,259.624623
0.098457,60,260.040287
0.504861,124,260.71967
0.101974,73,261.187597
5.315538,801,264.677759
3.815018,522,267.020029
0.121851,53,267.406807
9.051957,996,271.699273
0.22389,77,272.184774
5.1219,605,274.859621
4.778815,603,278.299143
9.325286,1001,282.740991
9.313223,1001,287.417801
3.190949,397,289.239241
2.818511,439,291.255993
9.435665,1001,296.343379
4.926288,666,299.26882
0.344192,90,299.806709
9.379434,1001,304.124491
9.714294,1001,308.45739
3.850595,498,310.706403
8.527899,1001,315.821611
0.173023,202,316.820363
4.164007,604,319.493545
0.251076,98,320.076896
8.820173,914,324.026487
8.644986,1001,328.388126
8.935247,950,332.505918
0.219946,107,333.911811
10.029351,1001,338.226831
3.399528,444,340.235045
0.573385,178,341.138268
3.280312,476,343.284915
0.26481,76,343.765438
10.417001,1001,348.071077
9.702679,1001,353.203267
9.245888,1001,357.526477
3.995214,496,359.749075
11.897139,1001,364.122024
3.968732,516,366.442222
8.495525,1001,371.952435
3.070068,391,373.748693
9.598474,1001,378.060675
2.467921,285,379.407456
2.632267,323,380.928004
4.932365,610,383.63211
0.567801,264,384.893872
10.170076,1001,389.209119
9.808362,1001,394.302516
10.489981,1001,398.637946
9.165513,980,402.888036
0.231038,89,403.431562
4.972463,631,406.222469
0.490789,157,407.050694
9.796171,1001,412.162375
0.264373,97,412.728001
8.962428,1001,417.063421
3.203872,379,418.797139
10.181895,1001,423.107383
9.455417,1001,427.441168
2.401801,283,429.560471
9.169323,1001,433.883262
9.279752,1001,438.206819
2.077173,248,439.403935
9.783873,1001,443.739808
10.557989,1001,448.87213
9.35452,1001,453.209173
9.452839,1001,457.540616
-0.126656,60,457.957077
0.282648,157,458.769617
11.018041,1001,463.0823
9.154049,971,468.076771
10.8848,1001,472.410721
0.281093,85,472.928252
9.15963,952,477.047247
0.163339,57,477.449352
10.59342,1001,481.777133
11.060255,1001,486.883573
11.05066,1001,491.206739
3.406314,415,493.097061
10.767205,1001,497.641078
11.176647,1001,502.195705
10.828547,1001,507.319315
8.924159,956,511.469906
10.618669,1001,515.790242
10.786706,1001,520.117806
10.475637,1001,525.238697
11.13688,1001,529.565485
4.219187,512,531.85799
5.655246,670,534.805675
9.631593,1001,539.141186
0.267507,149,539.923724
0.394767,139,541.440018
3.916257,564,543.947928
10.808692,1001,548.270385
9.159626,937,552.339602
11.237871,1001,556.677306
4.330205,555,559.927124
0.891913,233,561.057175
4.923071,676,564.029101
3.820459,452,566.068913
10.396751,1001,570.375557
5.571153,695,573.425999
10.108572,1001,578.537424
9.038371,1001,582.85763
4.893922,624,585.623655
10.727289,1001,589.951007
11.355614,1001,594.285374
10.181755,1001,599.41894
11.620467,1001,603.736375
11.610505,1001,608.050668
11.551787,1001,612.3479
11.090867,1001,617.455625
11.483639,1001,621.774743
9.161967,994,626.086869
11.234467,1001,630.421321
11.783717,1001,635.535078
8.79366,916,639.490035
8.683077,1001,643.812539
2.764159,313,645.278048
0.24581,78,645.767021
10.878862,1001,650.08304
11.327374,1001,655.218748
10.70353,1001,659.546668
11.403352,1001,663.875492
10.967682,1001,668.189838
11.162557,1001,673.299878
11.124002,1001,677.631331
11.689217,1001,681.963186
11.113125,1001,686.299394
8.626443,883,690.910159
11.545197,1001,695.216111
11.65713,1001,699.547576
2.129504,271,700.842917
11.126728,1001,705.178764
11.281461,1001,710.2776
11.391177,1001,714.678214
11.475958,1001,718.991261
11.537789,1001,723.326109
11.329515,1001,728.439643
11.422073,1001,732.753434
11.609364,1001,737.075358
11.530516,1001,741.468068
11.831267,1001,746.76822
5.320926,628,749.550309
0.359404,213,750.604782
11.485828,1001,754.922586
10.727264,1001,759.242935
11.742631,1001,764.361917
11.134297,1001,768.694731
0.150707,194,769.658171
1.085942,315,771.134078
8.715657,923,775.140255
11.58608,1001,779.465517
9.650001,1001,784.591416
11.932016,1001,788.91626
11.772771,1001,793.254304
4.548839,509,795.910279
11.839428,1001,800.237939
10.930893,1001,805.340187
11.760312,1001,809.656201
10.333784,1001,813.993209
11.180679,1001,818.319588
11.762289,1001,823.430085
11.677454,1001,827.767622
2.064478,224,828.879275
11.550171,1001,833.221421
11.882948,1001,837.551339
11.855534,1001,842.661107
11.794911,1001,846.982265
11.618704,1001,851.317866
11.500234,1001,855.651716
11.336979,1001,860.768768
11.596574,1001,865.109415
11.637006,1001,869.432783
0.415478,105,870.049823
12.08478,1001,874.379925
11.308053,1001,879.45629
8.208316,842,883.122209
11.739239,1001,887.822388
11.906481,1001,892.138212
0.612297,167,893.008223
11.222134,1001,898.131564
11.783055,1001,902.463936
10.729573,1001,906.789418
11.167963,1001,911.124616
8.68879,896,915.812441
10.47624,1001,920.125333
11.534801,1001,924.452761
11.943887,1001,928.7752
10.22506,1001,933.877926
-0.079457,90,934.416809
8.108523,877,938.232754
10.606163,1001,942.573755
11.726178,1001,946.897027
11.548877,1001,952.047545
11.595849,1001,956.364613
11.937824,1001,960.684886
3.311297,351,962.309523
10.646435,1001,966.637785
11.283507,1001,971.772302
9.095458,875,975.585796
11.91843,1001,979.910125
11.800132,1001,984.234536
12.222965,1001,989.356521
11.990378,1001,993.68545
9.987928,1001,998.035515
12.122014,1001,1002.360135
11.341445,1001,1007.467824
11.622187,1001,1012.219068
10.901147,1001,1016.602956
10.744923,1001,1020.912298
11.294598,1001,1026.028613
11.837731,1001,1030.358251
3.353919,412,1032.234635
11.492812,1001,1036.55671
8.547643,875,1040.386479
10.437379,1001,1045.495799
12.141414,1001,1049.806288
11.06556,1001,1054.141236
11.263339,1001,1058.477212
11.889698,1001,1063.560143
11.667199,1001,1067.881798
12.290152,1001,1072.271358
12.070114,1001,1076.591454
11.54973,1001,1081.711547
11.565907,1001,1086.041688
12.283824,1001,1090.353029
11.6244,1001,1094.661688
11.763204,1001,1098.986407
12.112417,1001,1104.089659
11.263336,1001,1108.414682
12.051828,1001,1112.758538
11.511885,1001,1117.064653
11.230764,1001,1122.147054
11.874378,1001,1126.480934
11.978528,1001,1130.82631
12.164212,1001,1135.135722
8.523695,885,1139.793055
11.81188,1001,1144.117219
8.243209,841,1147.774581
11.711898,1001,1152.092374
12.16648,1001,1157.211186
0.41345,98,1157.783429
11.72951,1001,1162.122933
11.346803,1001,1166.434205
11.909804,1001,1170.754301
8.004323,782,1174.971477
8.040735,828,1178.568678
11.664707,1001,1182.874894
10.451558,1001,1187.216491
12.135817,1001,1191.547806
12.311929,1001,1196.62948
12.155142,1001,1200.953428
5.934626,647,1203.81483
0.403168,108,1204.427187
12.116117,1001,1208.751939
12.02,1001,1213.879147
11.897773,1001,1218.232761
11.959614,1001,1222.539507
12.377494,1001,1226.852374
9.015058,905,1231.597945
0.061411,47,1231.962063
11.974455,1001,1236.294703
11.943252,1001,1240.613711
-0.011363,174,1241.510808
9.231612,917,1245.506431
0.282024,62,1245.930017
12.185091,1001,1251.039535
11.952814,1001,1255.509153
12.223139,1001,1260.059786
12.005745,1001,1264.376654
1.065087,254,1265.608141
0.237621,76,1266.112445
11.462815,1001,1271.271827
12.055697,1001,1275.608956
12.055575,1001,1279.94722
12.072326,1001,1284.293261
11.888919,1001,1289.426966
12.055805,1001,1293.759942
12.488656,1001,1298.108799
11.940192,1001,1302.447344
11.600844,1001,1307.56364
12.006714,1001,1311.895879
8.875485,905,1315.831749
11.870463,1001,1320.152303
12.095845,1001,1325.269045
12.200513,1001,1329.60521
11.963323,1001,1333.920974
0.561973,121,1334.584541
11.857768,1001,1338.913826
12.137922,1001,1344.018346
11.701286,1001,1348.336224
12.367278,1001,1352.659927
12.137095,1001,1356.96291
0.15004,65,1357.412229
12.253844,1001,1362.509268
12.325384,1001,1366.823435
12.49468,1001,1371.161527
0.562587,153,1371.971787
5.234364,754,1375.276214
0.100389,51,1375.654326
8.067836,757,1379.730777
12.425045,1001,1384.041018
10.908775,1001,1388.376325
12.087703,1001,1392.700609
12.253406,1001,1397.004771
11.792468,1001,1402.104413
11.922961,1001,1406.426276
11.736628,1001,1410.735955
12.255983,1001,1415.082431
9.991179,1001,1420.188265
12.181775,1001,1424.495755
11.460209,1001,1428.823707
12.298551,1001,1433.161299
10.888789,1001,1438.604808
12.107518,1001,1442.914677
11.468193,1001,1447.24682
12.148377,1001,1451.565478
12.423153,1001,1456.662575
11.900774,1001,1460.990321
12.099963,1001,1465.302744
12.113169,1001,1469.611893
12.400312,1001,1474.721291
12.305344,1001,1479.040055
12.299897,1001,1483.345773
12.327418,1001,1487.647711
12.466091,1001,1492.741895
9.237742,945,1496.821096
12.499261,1001,1501.143394
12.311641,1001,1505.463693
12.466923,1001,1510.536015
12.407214,1001,1514.847832
12.068256,1001,1519.162514
11.830104,1001,1523.475188
9.978547,1001,1528.567303
12.165877,1001,1532.866806
12.14793,1001,1537.18468
12.173951,1001,1541.505284
12.643386,1001,1546.603033
0.503163,189,1547.549594
11.975683,1001,1551.86575
