#{"t_start": 1765972513.8508139, "env_id": "None"}
r,l,t
0.251417,62,1.066791
0.290427,63,1.514083
8.961687,1001,5.903065
7.115591,1001,10.561102
9.942249,1001,15.031913
0.141809,51,15.419613
2.4341,516,17.773221
8.766404,1001,23.024954
0.171877,95,23.611766
0.09147,79,24.113424
6.706799,1001,28.574995
0.106706,47,28.949627
3.28725,545,31.851295
0.131891,52,32.396925
2.285507,401,34.470457
0.165698,58,34.976413
0.824305,361,36.699837
0.091845,53,37.11151
9.059175,1001,42.510827
2.351785,1001,47.168641
1.279184,396,49.270599
9.648576,1001,53.927536
1.836683,341,55.628868
1.214865,322,57.244981
5.362737,752,60.773129
0.199214,56,61.21271
0.079478,45,62.399766
3.327574,646,65.455087
10.141792,1001,70.11297
0.979653,191,71.111059
0.567715,158,71.971251
6.102886,1001,76.592327
6.59064,1001,81.208266
3.616347,728,85.407712
0.206263,53,85.817574
0.020835,47,86.196631
8.820324,1001,90.658088
7.756727,1001,95.314664
3.201762,375,97.096241
0.287196,70,97.57994
2.629737,441,99.681601
8.24742,1001,104.884922
9.146329,1001,109.191498
0.085739,45,109.552102
9.427953,1001,113.866015
3.243843,451,115.90567
1.945814,860,119.635022
0.067532,44,119.98687
3.449326,544,123.212098
0.437114,165,124.076919
0.267306,60,124.497385
7.923195,1001,128.827085
7.331037,1001,133.227184
1.289719,223,134.325184
8.39306,1001,138.65056
5.511966,692,142.591784
6.9761,1001,146.938182
6.632867,1001,151.265711
0.584469,154,152.083634
8.216678,1001,156.512506
0.093012,46,156.867565
0.361213,128,157.566052
6.482434,1001,163.039108
0.100936,60,163.459058
5.641194,1001,167.786605
2.757241,1001,172.112117
3.331427,651,174.992304
8.301897,1001,180.213747
6.554606,1001,184.535502
8.666833,1001,188.864325
10.034139,1001,193.379821
0.291113,71,193.837554
8.528854,1001,199.049077
0.22229,57,199.456188
0.210405,72,199.9292
7.842948,1001,204.281404
2.370929,352,205.909604
0.192556,57,206.318
0.222354,61,206.740929
0.634328,105,207.347041
4.384346,1001,211.661856
0.199357,53,212.044508
0.077964,47,212.404758
7.224725,1001,216.712065
7.598784,1001,221.935719
6.729814,1001,226.266954
9.796332,1001,230.728341
0.156276,51,231.16768
3.087918,465,233.292797
8.903046,1001,238.544188
0.12126,50,238.917136
2.331122,405,240.750196
8.716862,1001,245.06038
7.632221,1001,249.368049
2.235924,418,251.282532
9.450007,1001,256.514859
3.903256,1001,260.808389
0.013181,40,261.138377
0.225977,58,261.540817
0.173809,53,261.923106
0.306419,72,262.384852
0.169214,56,262.780611
0.459813,171,263.645356
0.088198,45,263.995186
0.210666,57,264.397886
8.094117,1001,268.72951
8.328311,1001,273.057246
0.225584,55,273.45455
0.221045,70,273.910036
8.640924,1001,279.135376
7.90799,1001,283.525691
0.346366,446,285.61111
0.074192,44,285.974634
0.358445,81,286.477099
7.279782,1001,290.790901
1.088447,499,293.033145
0.111394,60,293.447177
0.192026,57,293.864413
0.174679,52,294.25024
10.351644,1001,299.451399
1.689024,299,301.046855
0.130814,44,301.542065
2.56485,331,303.215833
0.272145,81,303.734958
0.116295,47,304.106881
7.591192,1001,308.821181
0.192325,54,309.232954
0.20828,58,309.658875
5.424326,1001,314.441261
0.20421,62,315.022596
0.27954,107,315.702238
0.03339,43,316.07094
0.161055,59,317.488162
0.068537,49,317.880074
10.072679,1001,322.474498
0.150316,53,322.890473
9.756681,1001,327.64672
4.970708,783,331.271212
9.817517,1001,336.178902
0.243594,57,336.633042
0.086547,49,337.044758
7.797115,1001,342.745227
8.045371,1001,347.355323
8.894623,1001,351.930035
2.185313,284,353.361188
8.309766,1001,359.002916
10.058835,1001,363.600776
10.435206,1001,368.145193
8.878696,1001,372.727638
8.699964,1001,378.304117
11.042304,1001,382.747915
10.377585,1001,387.233545
10.231229,1001,391.620287
10.52184,1001,395.935622
8.299244,1001,401.280698
10.093838,1001,405.634497
-0.045687,194,406.61162
5.702592,1001,410.918975
10.544942,1001,416.197573
8.330321,1001,420.482025
10.728797,1001,424.777437
3.531644,1001,429.063931
10.65635,1001,433.488584
8.166298,1001,438.707035
0.237471,65,439.141617
8.918975,1001,443.424635
8.566981,1001,447.698981
0.106608,46,448.05411
5.008513,750,451.31626
0.018094,43,451.674165
0.195416,77,452.171606
0.204094,53,452.572962
10.024998,1001,457.867333
9.468265,1001,462.218525
0.193319,57,462.641609
9.909381,1001,466.958904
0.152772,53,467.34588
5.069768,581,469.905462
2.031506,326,471.406808
10.825273,1001,476.581807
0.123515,56,476.979434
0.338489,164,477.821219
7.264188,1001,482.105499
8.274106,1001,486.387603
0.386263,93,486.940234
8.104061,1001,492.189765
11.784132,1001,496.516433
0.18902,56,496.910143
0.208641,61,497.325306
-0.014825,40,497.654589
0.150371,52,498.035492
11.201664,1001,502.325255
12.087729,1001,506.625902
0.202955,60,507.039115
8.712979,1001,512.310172
11.146783,1001,516.643216
10.408345,1001,520.976984
9.804007,1001,525.328183
0.019066,44,525.675791
0.188388,65,526.125315
8.008451,1001,531.33815
8.61223,1001,535.633909
0.179635,59,536.04052
0.131835,50,536.417387
8.003851,1001,540.712922
0.111658,46,541.067653
9.305424,1001,545.367138
9.747138,1001,550.645697
10.036634,1001,555.016005
9.653818,1001,559.311187
10.758724,1001,563.60426
0.055163,46,563.964236
7.099273,1001,569.18676
7.008203,708,572.345848
8.75187,1001,576.942836
0.219956,142,577.692689
8.326679,1001,582.053321
9.009776,1001,586.436856
10.907435,1001,591.949411
0.235371,54,592.34104
10.924237,1001,596.663312
11.421554,1001,600.978645
11.215178,1001,605.295804
10.547028,1001,610.613218
10.358742,1001,614.979316
10.544279,1001,619.328778
10.885028,1001,623.637738
11.714624,1001,628.931769
11.755904,1001,633.254804
11.682897,1001,637.55337
11.896147,1001,641.883743
0.066007,47,642.260729
10.719367,1001,647.489216
10.009808,1001,651.783255
10.577928,1001,656.104998
9.602785,1001,660.425757
11.640383,1001,665.667797
10.965214,1001,669.960661
11.493112,1001,674.345872
10.494369,1001,678.692656
10.674149,1001,683.959449
10.933693,1001,688.602255
12.447058,1001,692.881839
10.903687,1001,697.184132
0.117883,48,697.555608
0.294651,88,698.084938
10.876325,1001,703.337374
8.695925,1001,707.638946
11.136809,1001,711.948187
10.468765,1001,716.539089
12.396811,1001,721.98013
11.173141,1001,726.274703
10.768228,1001,730.567731
11.33211,1001,734.870229
9.291915,1001,740.060091
11.988363,1001,744.346794
0.311737,86,744.86361
11.329152,1001,749.153784
11.033329,1001,753.450865
10.886904,1001,758.69019
0.180561,54,759.075758
11.797761,1001,763.366501
10.566704,1001,767.673703
11.921467,1001,771.96053
11.996687,1001,777.199027
