#{"t_start": 1765488100.926879, "env_id": "None"}
r,l,t
0.0,56,0.983031
0.0,39,1.299161
0.0,54,1.671857
0.0,893,5.325232
0.0,99,5.878001
0.0,123,6.518387
0.0,161,7.301714
0.0,54,7.671701
0.0,48,8.022207
0.0,309,9.382132
0.0,48,9.731064
0.0,993,13.804542
0.0,132,14.477202
0.0,281,15.750757
0.0,96,16.290114
0.0,57,16.674611
0.0,178,17.528541
0.0,1001,22.409579
0.0,89,22.918561
0.0,130,23.579415
0.0,1001,27.954614
0.0,290,29.27537
0.0,61,29.700964
0.0,141,30.462192
0.0,1001,34.52666
0.0,739,37.560544
0.0,129,38.988919
0.0,245,40.126227
0.0,149,40.876502
0.0,470,42.885989
0.0,1001,46.989874
0.0,186,47.888498
0.0,180,48.757325
0.0,810,52.143039
0.0,909,55.896455
0.0,61,56.299491
0.0,54,56.676684
0.0,54,57.817744
0.0,48,58.172769
0.0,1001,62.296456
0.0,57,62.688384
0.0,1001,66.828187
0.0,1001,70.946831
0.0,1001,75.826467
0.0,59,76.227025
0.0,881,79.873136
0.0,888,83.578595
0.0,1001,87.711348
0.0,163,88.516273
0.0,1001,92.654792
0.0,53,93.034128
0.0,125,94.455015
0.0,58,94.852589
0.0,1001,98.99372
0.0,45,99.337404
0.0,132,100.035072
0.0,414,101.837926
0.0,54,102.215429
0.0,48,102.580429
0.0,1001,106.721201
0.0,61,107.127327
0.0,57,107.516195
0.0,51,107.882843
0.0,1001,112.028222
0.0,59,113.178295
0.0,44,113.5199
0.0,109,114.125802
0.0,1001,118.272249
0.0,858,121.844331
0.0,44,122.186017
0.0,92,122.717038
0.0,59,123.113006
0.0,45,123.457669
0.0,393,125.183006
0.0,110,125.7856
0.0,1001,129.948987
0.0,1001,134.900699
0.0,49,135.261604
0.0,504,137.429024
0.0,64,137.849027
0.0,57,138.275604
0.0,257,139.467883
0.0,1001,143.617851
0.0,51,143.987829
0.0,275,145.245124
0.0,284,146.538739
0.0,46,146.887809
0.0,154,147.663079
0.0,86,148.169896
0.0,72,148.622926
0.0,1001,153.560199
0.0,1001,157.711588
0.0,595,160.248628
0.0,365,161.861143
0.0,373,163.511476
0.0,61,163.922061
0.0,42,164.255719
0.0,53,164.628454
0.0,943,168.56014
0.0,634,172.049004
0.0,1001,176.199308
0.0,53,176.572425
0.0,60,176.975388
0.0,58,177.369186
0.0,52,177.736845
0.0,1001,181.895338
0.0,951,185.852747
0.0,1001,190.784329
0.0,1001,194.931551
0.0,1001,199.088387
0.0,69,199.529181
0.0,1001,203.678784
0.0,1001,208.610395
0.0,43,208.951339
0.0,1001,213.112701
0.0,279,214.385375
0.0,91,214.91525
0.0,1001,219.082626
0.0,430,220.969339
0.0,150,221.73102
0.0,872,226.126951
0.0,46,226.481484
0.0,463,228.495373
0.0,121,229.143623
0.0,54,229.522392
0.0,219,230.568905
0.0,325,232.027226
0.0,653,234.819381
0.0,48,235.177438
0.0,202,236.147296
0.0,51,236.513734
0.0,1001,240.680313
0.0,1001,245.625179
0.0,858,249.221874
0.0,817,252.665135
0.0,54,253.043902
0.0,1001,257.191994
0.0,58,257.588984
0.0,1001,262.50735
0.0,851,266.088587
0.0,80,266.582698
0.0,1001,270.756799
0.0,52,271.133274
0.0,1001,275.288436
0.0,1001,279.473089
0.0,1001,284.387807
0.0,151,285.151754
0.0,1001,289.293134
0.0,202,290.26127
0.0,255,291.441109
0.0,194,292.374287
0.0,1001,296.532961
0.0,944,301.225859
0.0,58,301.62109
0.0,1001,305.799062
0.0,581,308.27837
0.0,1001,312.433021
0.0,180,313.314743
0.0,1001,318.239096
0.0,202,319.207123
0.0,61,319.615676
0.0,44,319.958392
0.0,130,320.646263
0.0,973,324.740155
0.0,885,328.449823
0.0,1001,332.610671
0.0,237,333.718166
0.0,396,336.230031
0.0,61,336.640878
0.0,94,337.182581
0.0,1001,341.334092
0.0,62,341.744
0.0,1001,345.909246
0.0,76,346.379004
0.0,471,348.416299
0.0,98,348.972741
0.0,743,352.090106
0.0,56,352.479259
0.0,62,352.891759
0.0,51,353.258353
0.0,1001,358.211648
0.0,45,358.554404
0.0,59,358.956929
0.0,63,359.371884
0.0,1001,363.519507
0.0,403,365.286343
0.0,40,365.61084
0.0,1001,369.75811
0.0,1001,374.684629
0.0,129,375.370016
0.0,53,375.746924
0.0,1001,379.902602
0.0,403,381.67762
0.0,95,382.21955
0.0,116,382.850784
0.0,220,383.895822
0.0,42,384.226603
0.0,64,384.645568
0.0,88,385.160716
0.0,195,386.108348
0.0,287,387.416244
0.0,643,390.155549
0.0,1001,395.074313
0.0,396,396.813582
0.0,43,397.14837
0.0,74,397.609815
0.0,409,399.410614
0.0,1001,403.604163
0.0,1001,407.767179
0.0,663,411.342991
0.0,287,412.657453
0.0,620,415.299625
0.0,52,415.669932
0.0,69,416.110132
0.0,195,417.05092
0.0,990,421.1633
0.0,1001,425.304113
0.0,85,425.812116
0.0,42,426.143726
0.0,47,426.495004
0.0,296,427.840753
0.0,63,428.256365
0.0,837,432.529616
0.0,1001,436.691052
0.0,236,437.79692
0.0,47,438.149174
0.0,347,439.702353
0.0,66,440.129672
0.0,64,440.552371
0.0,46,440.900077
0.0,319,442.336176
0.0,86,442.840209
0.0,50,443.205509
0.0,86,443.71742
0.0,189,444.64034
0.0,179,445.517566
0.0,125,446.179911
0.0,61,446.590562
0.0,950,451.29857
0.0,360,452.911918
0.0,94,453.44948
0.0,42,453.77901
0.0,49,454.140826
0.0,870,457.780173
0.0,1001,461.92245
0.0,70,462.366484
0.0,493,464.497732
0.0,241,465.625101
0.0,50,465.986153
0.0,1001,470.909231
0.0,46,471.256589
0.0,137,471.963151
0.0,57,472.3512
0.0,165,473.171972
0.0,135,473.873165
0.0,92,474.400296
0.0,145,475.145489
0.0,230,476.230612
0.0,91,476.762675
0.0,58,477.162818
0.0,246,478.312528
0.0,1001,482.473757
0.0,50,482.842648
0.0,74,483.302094
0.0,54,483.679829
0.0,42,484.013803
0.0,935,487.922073
0.0,776,492.003382
0.0,380,493.68316
0.0,45,494.029664
0.0,1001,498.203175
0.0,40,498.533394
0.0,47,498.888047
0.0,55,499.272122
0.0,49,499.629867
0.0,349,501.193671
0.0,1001,505.354672
0.0,463,508.138924
0.0,43,508.480677
0.0,47,508.836428
